,carat,cut,color,clarity,depth,table,price,x,y,z,y/x
172,1.17,0,J,I1,60.2,61.0,2774,6.83,6.9,4.13,0.989855072463768
173,0.6,4,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,0.994485294117647
174,0.7,4,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,0.989547038327526
175,0.83,2,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,0.9948979591836734
176,0.74,0,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,0.9931506849315068
177,0.72,0,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,0.9876977152899824
178,0.71,3,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,1.0105633802816902
179,0.71,4,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,1.0302491103202847
180,0.54,4,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,0.9962049335863379
181,0.54,4,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,0.9961977186311788
182,0.72,4,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,0.9947826086956522
183,0.72,4,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,0.9948453608247422
184,0.72,2,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,0.9931506849315068
185,0.71,4,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,1.0069444444444444
186,0.7,0,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,0.987783595113438
187,0.71,3,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,0.9947368421052631
188,0.71,0,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,0.9912126537785587
189,0.71,2,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,0.9946808510638299
190,0.71,2,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,0.9949152542372881
191,0.7,4,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,1.0052910052910053
192,0.7,3,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,1.0124113475177305
193,0.7,3,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,1.0069565217391305
194,0.7,3,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,1.0088028169014085
195,0.7,3,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,1.0071047957371226
196,0.7,3,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,1.0088028169014085
197,0.7,3,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,1.0104895104895106
198,0.7,4,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,1.0105263157894737
199,0.72,3,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,1.0192644483362523
200,0.7,0,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,1.0105263157894737
201,0.7,3,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,1.005281690140845
202,0.7,3,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,1.0052264808362368
203,0.7,2,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,1.0089445438282647
204,0.98,1,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,1.0134003350083751
205,0.78,3,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,1.0051724137931035
206,0.7,0,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,1.0163339382940109
207,0.52,4,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,0.9942528735632186
208,0.73,0,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,0.9965753424657535
209,0.74,4,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,1.006896551724138
210,0.7,0,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,0.9929203539823008
211,0.77,3,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,0.9949409780775718
212,0.71,4,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,0.993006993006993
213,0.74,4,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,0.9914675767918087
214,0.7,4,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,0.9842931937172773
215,1.01,3,F,I1,61.8,60.0,2781,6.39,6.36,3.94,1.0047169811320753
216,0.77,4,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,0.9914965986394558
217,0.78,4,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,0.9883138564273789
218,0.72,0,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,1.012152777777778
219,0.53,0,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,0.994413407821229
220,0.76,4,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,0.9932659932659933
221,0.7,2,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,1.0069324090121317
222,0.7,3,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,1.0144404332129964
223,0.75,0,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,1.0087260034904013
224,0.72,4,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,1.0017391304347825
225,0.72,3,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,1.0070298769771528
226,0.7,3,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,1.0035335689045937
227,0.84,1,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,1.0306451612903225
228,0.75,3,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,1.005128205128205
229,0.52,4,F,IF,62.2,55.0,2783,5.14,5.18,3.21,0.9922779922779923
230,0.72,0,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,0.9930191972076788
231,0.79,0,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,0.9881756756756757
232,0.72,0,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,0.9947275922671353
233,0.51,4,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,0.9922330097087378
234,0.64,4,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,0.9981981981981982
235,0.7,0,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,0.9948006932409014
236,0.83,0,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,0.9950819672131148
237,0.76,4,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,0.9965928449744462
238,0.71,2,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,0.9929577464788732
239,0.77,2,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,1.0084459459459458
240,0.71,4,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,1.0106194690265486
241,1.01,1,E,I1,64.5,58.0,2788,6.29,6.21,4.03,1.0128824476650564
242,1.01,3,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,1.0144694533762058
243,0.77,2,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,1.0069324090121317
244,0.76,2,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,0.9846153846153847
245,0.76,3,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,0.9966329966329965
246,0.76,3,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,0.9931740614334471
247,1.05,0,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,1.006201550387597
248,0.81,4,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,0.9933444259567388
249,0.7,4,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,0.9947826086956522
250,0.55,4,G,IF,60.9,57.0,2789,5.28,5.3,3.22,0.9962264150943397
251,0.81,2,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,0.991652754590985
252,0.63,3,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,1.0129390018484288
253,0.63,3,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,1.0054347826086958
254,0.77,3,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,1.0034013605442178
255,1.05,1,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,1.0223285486443383
256,0.64,4,G,IF,61.3,56.0,2790,5.54,5.58,3.41,0.992831541218638
257,0.76,3,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,1.01010101010101
258,0.83,4,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,0.9950413223140495
259,0.71,3,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,1.0052264808362368
260,0.71,3,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,1.0070298769771528
261,0.87,0,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,0.9950819672131148
262,0.73,4,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,0.9930795847750865
263,0.71,3,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,0.9948805460750852
264,0.71,3,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,0.991304347826087
265,0.71,4,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,0.9913344887348354
266,0.7,3,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,1.0106194690265486
267,0.7,3,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,1.0052173913043478
268,0.76,3,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,1.0085324232081911
269,0.7,4,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,1.0088028169014085
270,0.79,0,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,0.986798679867987
271,0.7,0,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,0.9947275922671353
272,0.7,2,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,0.989399293286219
273,0.76,4,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,0.9932318104906938
274,0.73,4,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,0.9930555555555556
275,0.79,0,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,1.0085324232081911
276,0.71,0,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,0.9982817869415807
277,0.81,3,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,1.0085324232081911
278,0.81,4,F,SI2,62.6,55.0,2795,5.92,5.96,3.72,0.9932885906040269
279,0.72,2,F,VS1,60.7,60.0,2795,5.74,5.72,3.48,1.0034965034965035
280,0.72,3,D,SI2,62.0,60.0,2795,5.73,5.69,3.54,1.0070298769771528
281,0.72,3,I,IF,63.0,57.0,2795,5.72,5.7,3.6,1.0035087719298246
282,0.81,3,H,VS2,58.0,59.0,2795,6.17,6.13,3.57,1.0065252854812399
283,0.72,3,G,VS2,62.9,57.0,2795,5.73,5.65,3.58,1.0141592920353983
284,1.0,3,I,SI2,58.2,60.0,2795,6.61,6.55,3.83,1.0091603053435114
285,0.73,2,E,SI1,63.2,58.0,2796,5.7,5.76,3.62,0.9895833333333334
286,0.81,0,H,SI2,61.3,59.0,2797,5.94,6.01,3.66,0.988352745424293
287,0.81,0,E,SI1,60.3,60.0,2797,6.07,6.1,3.67,0.9950819672131148
288,0.71,3,D,SI1,62.7,60.0,2797,5.67,5.71,3.57,0.9929947460595446
289,0.71,3,D,SI1,61.3,58.0,2797,5.73,5.75,3.52,0.9965217391304348
290,0.71,3,D,SI1,61.6,60.0,2797,5.74,5.69,3.52,1.0087873462214412
291,0.57,4,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31,0.9981308411214954
292,0.51,4,D,VVS1,61.7,56.0,2797,5.12,5.16,3.17,0.9922480620155039
293,0.72,4,G,VS2,61.9,58.0,2797,5.72,5.75,3.55,0.9947826086956522
294,0.74,4,H,VS1,61.8,58.0,2797,5.77,5.81,3.58,0.9931153184165232
295,0.74,4,H,VS1,61.6,56.0,2797,5.81,5.82,3.58,0.9982817869415807
296,0.7,1,G,VVS1,58.8,66.0,2797,5.81,5.9,3.44,0.9847457627118643
297,0.8,3,F,SI2,61.0,57.0,2797,6.03,6.01,3.67,1.0033277870216306
298,1.01,1,E,SI2,67.4,60.0,2797,6.19,6.05,4.13,1.0231404958677688
299,0.8,0,H,VS2,63.4,60.0,2797,5.92,5.82,3.72,1.0171821305841924
300,0.77,4,I,VS1,61.5,59.0,2798,5.87,5.91,3.62,0.9932318104906938
301,0.83,0,E,SI2,58.0,62.0,2799,6.19,6.25,3.61,0.9904000000000001
302,0.82,4,F,SI2,62.4,54.0,2799,5.97,6.02,3.74,0.9916943521594684
303,0.78,4,D,SI1,61.9,57.0,2799,5.91,5.86,3.64,1.0085324232081911
304,0.6,0,G,IF,61.6,56.0,2800,5.43,5.46,3.35,0.9945054945054944
