,carat,cut,color,clarity,depth,table,price,x,y,z,density
47,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,0.006005997889792641
48,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,0.006105781442332116
49,0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,0.005805300936391036
50,0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,0.006046639240118847
51,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,0.006072232104999981
52,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,0.005901236899254082
53,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,0.00597122569477043
54,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,0.006277723998608857
55,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,0.006126453679823771
56,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,0.005923834417454271
57,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,0.006176995632864087
58,0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,0.0059872094048043275
59,0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,0.006094123741182563
60,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,0.006041638141503727
61,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,0.006244121939709005
62,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,0.006017664010229065
63,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,0.006012154170871834
64,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,0.006133160374316707
65,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,0.006137787543290035
66,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,0.006040884631676128
67,0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,0.006098776172356923
68,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,0.006155366208548573
69,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,0.006086561248102134
70,0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,0.006168714337120238
71,0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,0.00606557983607164
72,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,0.00616846116797427
73,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,0.006162597041645289
74,0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,0.006049214473205366
75,0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,0.005905375622545834
76,0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,0.005900803632716278
77,0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,0.006027304989792527
78,0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,0.006327810007017786
79,0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,0.006140218502037018
80,0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,0.006309454474859251
81,0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,0.006189428703351824
82,0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,0.006271732760116258
83,0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,0.0060972200126485215
84,0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,0.005917058766634616
85,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,0.006326477891595801
86,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,0.006194151977235253
87,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,0.00611695620259359
88,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,0.005933355365859591
89,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,0.006223148693483965
90,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,0.006013937902482795
91,0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,0.005984010723347216
92,0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,0.006188310281877532
93,0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,0.006127811439888621
94,0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,0.006169069519244413
95,0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,0.006000306872837211
96,0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,0.0062598010599452854
97,0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,0.00632255065128693
98,0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,0.006148500470014959
99,0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,0.006174188394831878
100,0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,0.006161302910188741
101,0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,0.005858423006261482
102,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,0.006075099726045841
103,0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,0.006167829857699531
104,0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,0.006167689485452486
105,0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,0.006068600430239496
106,0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,0.00632463514168092
107,0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,0.006114663643466788
108,0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,0.005997537011467291
109,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,0.0060287197993069835
110,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,0.0060957396875323845
111,0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,0.006035069954616274
112,0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,0.006168781818576619
113,0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,0.006181013107138991
114,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,0.006122554416928175
115,0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,0.006046700406702726
116,0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,0.006120043927227291
117,0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,0.006019449978947186
118,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,0.006077087753980596
119,0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,0.006057846344453959
120,0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,0.006117041999748218
121,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,0.006045421704109612
122,0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,0.006375681300749739
123,0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,0.006347967387190588
124,0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,0.006087996033827132
125,0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,0.006405627581753881
126,0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,0.006764692261140018
127,0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,0.0059221957839868805
128,0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,0.0062228644218305556
129,0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,0.006378229798017232
130,0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,0.006128813849425519
131,0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,0.006156422379826635
132,0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,0.006179813206702985
133,0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,0.006245088126668943
134,0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,0.006148287757752991
135,0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,0.006102089704205562
136,0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,0.006195759398871017
137,0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,0.006169028192380639
138,0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,0.00605817177703747
139,0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,0.006068563924792135
140,0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,0.006086330744071078
141,0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,0.005927872816236361
142,0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,0.0061208397876131556
143,0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,0.005874405216471832
144,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,0.006066255678698837
145,0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,0.006298617453468962
146,0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,0.006513489933043525
147,0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,0.006060012788121233
148,0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,0.006202228223143837
149,0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,0.0060597246461120795
150,0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,0.0062478711589001095
151,0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,0.006077750992964888
152,0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,0.006363622023079691
153,0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,0.006106351837218913
154,0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,0.0061896491393313244
155,0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,0.006230295256643404
156,0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,0.00604431967606533
157,0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,0.006019125813499283
158,0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,0.006176580395491521
159,0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,0.005914017381313286
160,0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,0.006019184079643997
161,0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,0.006055927856337041
162,0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,0.006051155105827076
163,0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,0.006032230325574933
164,0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,0.0060741181426127895
165,0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,0.006005314390630302
166,0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,0.006014951620879465
167,0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,0.005940131990552158
168,0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,0.006140624753514793
169,0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,0.006016957311128558
170,0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,0.006046270901958508
171,0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,0.0061040122998289445
172,1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,0.006011266963910973
173,0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,0.006085696341603929
174,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,0.005997286347873314
175,0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,0.006366572518099092
176,0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,0.0061195947438966135
177,0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,0.006237013909008793
178,0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,0.006082961867128646
179,0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,0.006146319276701147
180,0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,0.0060239149423210155
181,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,0.006065606135122475
182,0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,0.006166521781953502
183,0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,0.006052798867158164
184,0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,0.0061257910778533585
185,0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,0.006072112753147236
186,0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,0.006045869528442732
187,0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,0.006223371529933496
188,0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,0.006214654372084627
189,0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,0.006250603271252341
190,0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,0.006029611336348705
191,0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,0.006135718409793587
192,0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,0.006264023134361829
193,0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,0.00607680825195836
194,0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,0.006162680539247928
195,0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,0.00619445816516928
196,0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,0.006180389391372204
197,0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,0.006032079494948806
198,0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,0.006057006468190678
199,0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,0.006085880291140398
200,0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,0.006215936667064485
201,0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,0.006184266110313595
202,0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,0.006073388887836168
203,0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,0.00616743565778697
204,0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,0.0066502229724759495
205,0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,0.006354646982251471
206,0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,0.006463255102093579
207,0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,0.006016927793233182
208,0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,0.006050045980349451
209,0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,0.006085502294069892
210,0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,0.006168842814095663
211,0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,0.0060796062057461905
212,0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,0.006173205325747699
213,0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,0.006054294223350801
214,0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,0.006206387493426992
215,1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,0.00630764406022024
216,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,0.006170828273254149
217,0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,0.00604289001617883
218,0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,0.0061084966745344116
219,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,0.006000806327213961
220,0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,0.005974045288608485
221,0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,0.0063083836968402755
222,0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,0.006405379171544363
223,0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,0.00623838506277088
224,0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,0.006211180124223603
225,0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,0.0061685427861179615
226,0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,0.0061162224867847646
227,0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,0.006110225855769863
228,0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,0.006056553675601295
229,0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,0.006084227328636217
230,0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,0.006134273103972861
231,0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,0.006083006083006083
232,0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,0.006192936072196009
233,0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,0.006094175079914351
234,0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,0.006104116969378411
235,0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,0.006073388887836168
236,0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,0.006025826547381437
237,0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,0.006113797562026688
238,0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,0.006190815800942985
239,0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,0.006171915648476926
240,0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,0.0061993397703144605
241,1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,0.006416143698546141
242,1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,0.00654800616259441
243,0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,0.006174415333385873
244,0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,0.006095839429172762
245,0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,0.0060370172102015675
246,0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,0.006172850937378279
247,1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,0.006132839225078968
248,0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,0.006118005310020742
249,0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,0.006029196816239556
250,0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,0.0061037540528926905
251,0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,0.006254179876884383
252,0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,0.006287037135352844
253,0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,0.006102089704205562
254,0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,0.006148287757752991
255,1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,0.006250106921471979
256,0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,0.00607129913620971
257,0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,0.006075314717290027
258,0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,0.006060917625849477
259,0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,0.006195759398871017
260,0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,0.006169028192380639
261,0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,0.0060714127947278365
262,0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,0.006146106800005415
263,0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,0.006006425284620806
264,0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,0.006119449939020974
265,0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,0.006111444093955517
266,0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,0.006146654163201306
267,0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,0.006017752369489995
268,0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,0.006252034687670475
269,0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,0.006058522558302894
270,0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,0.0059725585881536805
271,0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,0.006088371247447602
272,0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,0.006117674696318628
273,0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,0.006068492342245369
274,0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,0.006154628550461884
275,0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,0.006131956347425531
276,0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,0.005948185805842536
277,0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,0.00642537587496961
278,0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72,0.006171263816316858
279,0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48,0.006301520178727916
280,0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54,0.0062382438345486724
281,0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6,0.00613421666053245
282,0.81,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3.57,0.005998893670698376
283,0.72,Premium,G,VS2,62.9,57.0,2795,5.73,5.65,3.58,0.006212213885488707
284,1.0,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,3.83,0.006030571439159388
285,0.73,Good,E,SI1,63.2,58.0,2796,5.7,5.76,3.62,0.006142100955273388
286,0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,3.66,0.006199305181875216
287,0.81,Very Good,E,SI1,60.3,60.0,2797,6.07,6.1,3.67,0.005960743426863775
