,#,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
81,75.0,55.0,95.0,115.0,45.0,45.0,35.0,1.0,False,390
82,76.0,80.0,120.0,130.0,55.0,65.0,45.0,1.0,False,495
85,79.0,90.0,65.0,65.0,40.0,40.0,15.0,1.0,False,315
86,80.0,95.0,75.0,110.0,100.0,80.0,30.0,1.0,False,490
87,80.0,95.0,75.0,180.0,130.0,80.0,30.0,1.0,False,590
88,81.0,25.0,35.0,70.0,95.0,55.0,45.0,1.0,False,325
89,82.0,50.0,60.0,95.0,120.0,70.0,70.0,1.0,False,465
90,83.0,52.0,65.0,55.0,58.0,62.0,60.0,1.0,False,352
91,84.0,35.0,85.0,45.0,35.0,35.0,75.0,1.0,False,310
92,85.0,60.0,110.0,70.0,60.0,60.0,100.0,1.0,False,460
94,87.0,90.0,70.0,80.0,70.0,95.0,70.0,1.0,False,475
98,91.0,50.0,95.0,180.0,85.0,45.0,70.0,1.0,False,525
99,92.0,30.0,35.0,30.0,100.0,35.0,80.0,1.0,False,310
100,93.0,45.0,50.0,45.0,115.0,55.0,95.0,1.0,False,405
101,94.0,60.0,65.0,60.0,130.0,75.0,110.0,1.0,False,500
102,94.0,60.0,65.0,80.0,170.0,95.0,130.0,1.0,False,600
103,95.0,35.0,45.0,160.0,30.0,45.0,70.0,1.0,False,385
110,102.0,60.0,40.0,80.0,60.0,45.0,40.0,1.0,False,325
111,103.0,95.0,95.0,85.0,125.0,65.0,55.0,1.0,False,520
119,111.0,80.0,85.0,95.0,30.0,30.0,25.0,1.0,False,345
120,112.0,105.0,130.0,120.0,45.0,45.0,40.0,1.0,False,485
130,121.0,60.0,75.0,85.0,100.0,85.0,115.0,1.0,False,520
131,122.0,40.0,45.0,65.0,100.0,120.0,90.0,1.0,False,460
132,123.0,70.0,110.0,80.0,55.0,80.0,105.0,1.0,False,500
133,124.0,65.0,50.0,35.0,115.0,95.0,95.0,1.0,False,455
137,127.0,65.0,155.0,120.0,65.0,90.0,105.0,1.0,False,600
140,130.0,95.0,125.0,79.0,60.0,100.0,81.0,1.0,False,540
141,130.0,95.0,155.0,109.0,70.0,130.0,81.0,1.0,False,640
142,131.0,130.0,85.0,80.0,85.0,95.0,60.0,1.0,False,535
149,138.0,35.0,40.0,100.0,90.0,55.0,35.0,1.0,False,355
150,139.0,70.0,60.0,125.0,115.0,70.0,55.0,1.0,False,495
151,140.0,30.0,80.0,90.0,55.0,45.0,55.0,1.0,False,355
152,141.0,60.0,115.0,105.0,65.0,70.0,80.0,1.0,False,495
153,142.0,80.0,105.0,65.0,60.0,75.0,130.0,1.0,False,515
154,142.0,80.0,135.0,85.0,70.0,95.0,150.0,1.0,False,615
156,144.0,90.0,85.0,100.0,95.0,125.0,85.0,1.0,True,580
157,145.0,90.0,90.0,85.0,125.0,90.0,100.0,1.0,True,580
158,146.0,90.0,100.0,90.0,125.0,85.0,90.0,1.0,True,580
161,149.0,91.0,134.0,95.0,100.0,100.0,80.0,1.0,False,600
163,150.0,106.0,190.0,100.0,154.0,100.0,130.0,1.0,True,780
177,163.0,60.0,30.0,30.0,36.0,56.0,50.0,2.0,False,262
178,164.0,100.0,50.0,50.0,76.0,96.0,70.0,2.0,False,442
179,165.0,40.0,20.0,30.0,40.0,80.0,55.0,2.0,False,265
180,166.0,55.0,35.0,50.0,55.0,110.0,85.0,2.0,False,390
181,167.0,40.0,60.0,40.0,40.0,40.0,30.0,2.0,False,250
182,168.0,70.0,90.0,70.0,60.0,60.0,40.0,2.0,False,390
183,169.0,85.0,90.0,80.0,70.0,80.0,130.0,2.0,False,535
184,170.0,75.0,38.0,38.0,56.0,56.0,67.0,2.0,False,330
185,171.0,125.0,58.0,58.0,76.0,76.0,67.0,2.0,False,460
188,174.0,90.0,30.0,15.0,40.0,20.0,15.0,2.0,False,210
190,176.0,55.0,40.0,85.0,80.0,105.0,40.0,2.0,False,405
191,177.0,40.0,50.0,45.0,70.0,45.0,70.0,2.0,False,320
192,178.0,65.0,75.0,70.0,95.0,70.0,95.0,2.0,False,470
196,181.0,90.0,95.0,105.0,165.0,110.0,45.0,2.0,False,610
198,183.0,70.0,20.0,50.0,20.0,50.0,40.0,2.0,False,250
199,184.0,100.0,50.0,80.0,60.0,80.0,50.0,2.0,False,420
202,187.0,35.0,35.0,40.0,35.0,55.0,50.0,2.0,False,250
203,188.0,55.0,45.0,50.0,45.0,65.0,80.0,2.0,False,340
204,189.0,75.0,55.0,70.0,55.0,95.0,110.0,2.0,False,460
208,193.0,65.0,65.0,45.0,75.0,45.0,95.0,2.0,False,390
209,194.0,55.0,45.0,45.0,25.0,25.0,15.0,2.0,False,210
210,195.0,95.0,85.0,85.0,65.0,65.0,35.0,2.0,False,430
213,198.0,60.0,85.0,42.0,85.0,42.0,91.0,2.0,False,405
214,199.0,95.0,75.0,80.0,100.0,110.0,30.0,2.0,False,490
218,203.0,70.0,80.0,65.0,90.0,65.0,85.0,2.0,False,455
220,205.0,75.0,90.0,140.0,60.0,60.0,40.0,2.0,False,465
222,207.0,65.0,75.0,105.0,35.0,65.0,85.0,2.0,False,430
223,208.0,75.0,85.0,200.0,55.0,65.0,30.0,2.0,False,510
224,208.0,75.0,125.0,230.0,55.0,95.0,30.0,2.0,False,610
227,211.0,65.0,95.0,75.0,55.0,55.0,85.0,2.0,False,430
228,212.0,70.0,130.0,100.0,55.0,80.0,65.0,2.0,False,500
229,212.0,70.0,150.0,140.0,65.0,100.0,75.0,2.0,False,600
230,213.0,20.0,10.0,230.0,10.0,230.0,5.0,2.0,False,505
231,214.0,80.0,125.0,75.0,40.0,95.0,85.0,2.0,False,500
232,214.0,80.0,185.0,115.0,40.0,105.0,75.0,2.0,False,600
233,215.0,55.0,95.0,55.0,35.0,75.0,115.0,2.0,False,430
237,219.0,50.0,50.0,120.0,80.0,80.0,30.0,2.0,False,410
238,220.0,50.0,50.0,40.0,30.0,30.0,50.0,2.0,False,250
239,221.0,100.0,100.0,80.0,60.0,60.0,50.0,2.0,False,450
240,222.0,55.0,55.0,85.0,65.0,85.0,35.0,2.0,False,380
243,225.0,45.0,55.0,45.0,65.0,45.0,75.0,2.0,False,330
244,226.0,65.0,40.0,70.0,80.0,140.0,70.0,2.0,False,465
245,227.0,65.0,80.0,140.0,40.0,70.0,70.0,2.0,False,465
246,228.0,45.0,60.0,30.0,80.0,50.0,65.0,2.0,False,330
247,229.0,75.0,90.0,50.0,110.0,80.0,95.0,2.0,False,500
248,229.0,75.0,90.0,90.0,140.0,90.0,115.0,2.0,False,600
249,230.0,75.0,95.0,95.0,95.0,95.0,85.0,2.0,False,540
257,238.0,45.0,30.0,15.0,85.0,65.0,65.0,2.0,False,305
265,246.0,50.0,64.0,50.0,45.0,50.0,41.0,2.0,False,300
266,247.0,70.0,84.0,70.0,65.0,70.0,51.0,2.0,False,410
267,248.0,100.0,134.0,110.0,95.0,100.0,61.0,2.0,False,600
268,248.0,100.0,164.0,150.0,95.0,120.0,71.0,2.0,False,700
269,249.0,106.0,90.0,130.0,90.0,154.0,110.0,2.0,True,680
270,250.0,106.0,130.0,90.0,110.0,154.0,90.0,2.0,True,680
271,251.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,False,600
275,254.0,70.0,110.0,75.0,145.0,85.0,145.0,3.0,False,630
277,256.0,60.0,85.0,60.0,85.0,60.0,55.0,3.0,False,405
278,257.0,80.0,120.0,70.0,110.0,70.0,80.0,3.0,False,530
279,257.0,80.0,160.0,80.0,130.0,80.0,100.0,3.0,False,630
281,259.0,70.0,85.0,70.0,60.0,70.0,50.0,3.0,False,405
282,260.0,100.0,110.0,90.0,85.0,90.0,60.0,3.0,False,535
283,260.0,100.0,150.0,110.0,95.0,110.0,70.0,3.0,False,635
290,267.0,60.0,70.0,50.0,100.0,50.0,65.0,3.0,False,395
292,269.0,60.0,50.0,70.0,50.0,90.0,65.0,3.0,False,385
293,270.0,40.0,30.0,30.0,40.0,50.0,30.0,3.0,False,220
294,271.0,60.0,50.0,50.0,60.0,70.0,50.0,3.0,False,340
295,272.0,80.0,70.0,70.0,90.0,100.0,70.0,3.0,False,480
297,274.0,70.0,70.0,40.0,60.0,40.0,60.0,3.0,False,340
298,275.0,90.0,100.0,60.0,90.0,60.0,80.0,3.0,False,480
299,276.0,40.0,55.0,30.0,30.0,30.0,85.0,3.0,False,270
300,277.0,60.0,85.0,60.0,50.0,50.0,125.0,3.0,False,430
301,278.0,40.0,30.0,30.0,55.0,30.0,85.0,3.0,False,270
302,279.0,60.0,50.0,100.0,85.0,70.0,65.0,3.0,False,430
303,280.0,28.0,25.0,25.0,45.0,35.0,40.0,3.0,False,198
304,281.0,38.0,35.0,35.0,65.0,55.0,50.0,3.0,False,278
305,282.0,68.0,65.0,65.0,125.0,115.0,80.0,3.0,False,518
306,282.0,68.0,85.0,65.0,165.0,135.0,100.0,3.0,False,618
307,283.0,40.0,30.0,32.0,50.0,52.0,65.0,3.0,False,269
308,284.0,70.0,60.0,62.0,80.0,82.0,60.0,3.0,False,414
310,286.0,60.0,130.0,80.0,60.0,60.0,70.0,3.0,False,460
314,290.0,31.0,45.0,90.0,30.0,30.0,40.0,3.0,False,266
315,291.0,61.0,90.0,45.0,50.0,50.0,160.0,3.0,False,456
316,292.0,1.0,90.0,45.0,30.0,30.0,40.0,3.0,False,236
322,298.0,50.0,20.0,40.0,20.0,40.0,20.0,3.0,False,190
326,302.0,50.0,75.0,75.0,65.0,65.0,50.0,3.0,False,380
327,302.0,50.0,85.0,125.0,85.0,115.0,20.0,3.0,False,480
328,303.0,50.0,85.0,85.0,55.0,55.0,50.0,3.0,False,380
329,303.0,50.0,105.0,125.0,55.0,95.0,50.0,3.0,False,480
330,304.0,50.0,70.0,100.0,40.0,40.0,30.0,3.0,False,330
331,305.0,60.0,90.0,140.0,50.0,50.0,40.0,3.0,False,430
332,306.0,70.0,110.0,180.0,60.0,60.0,50.0,3.0,False,530
334,307.0,30.0,40.0,55.0,40.0,55.0,60.0,3.0,False,280
335,308.0,60.0,60.0,75.0,60.0,75.0,80.0,3.0,False,410
336,308.0,60.0,100.0,85.0,80.0,85.0,100.0,3.0,False,510
344,315.0,50.0,60.0,45.0,100.0,80.0,65.0,3.0,False,400
347,318.0,45.0,90.0,20.0,65.0,20.0,65.0,3.0,False,305
348,319.0,70.0,120.0,40.0,95.0,40.0,95.0,3.0,False,460
349,319.0,70.0,140.0,70.0,110.0,65.0,105.0,3.0,False,560
352,322.0,60.0,60.0,40.0,65.0,45.0,35.0,3.0,False,305
353,323.0,70.0,100.0,70.0,105.0,75.0,40.0,3.0,False,460
354,323.0,70.0,120.0,100.0,145.0,105.0,20.0,3.0,False,560
360,329.0,50.0,70.0,50.0,50.0,50.0,70.0,3.0,False,340
361,330.0,80.0,100.0,80.0,80.0,80.0,100.0,3.0,False,520
363,332.0,70.0,115.0,60.0,115.0,60.0,55.0,3.0,False,475
364,333.0,45.0,40.0,60.0,40.0,75.0,50.0,3.0,False,310
365,334.0,75.0,70.0,90.0,70.0,105.0,80.0,3.0,False,490
366,334.0,75.0,110.0,110.0,110.0,105.0,80.0,3.0,False,590
369,337.0,70.0,55.0,65.0,95.0,85.0,70.0,3.0,False,440
370,338.0,70.0,95.0,85.0,55.0,65.0,70.0,3.0,False,440
371,339.0,50.0,48.0,43.0,46.0,41.0,60.0,3.0,False,288
372,340.0,110.0,78.0,73.0,76.0,71.0,60.0,3.0,False,468
374,342.0,63.0,120.0,85.0,90.0,55.0,55.0,3.0,False,468
375,343.0,40.0,40.0,55.0,40.0,70.0,55.0,3.0,False,300
376,344.0,60.0,70.0,105.0,70.0,120.0,75.0,3.0,False,500
377,345.0,66.0,41.0,77.0,61.0,87.0,23.0,3.0,False,355
378,346.0,86.0,81.0,97.0,81.0,107.0,43.0,3.0,False,495
379,347.0,45.0,95.0,50.0,40.0,50.0,75.0,3.0,False,355
380,348.0,75.0,125.0,100.0,70.0,80.0,45.0,3.0,False,495
390,357.0,99.0,68.0,83.0,72.0,87.0,51.0,3.0,False,460
398,363.0,70.0,40.0,50.0,55.0,50.0,25.0,3.0,False,290
399,364.0,90.0,60.0,70.0,75.0,70.0,45.0,3.0,False,410
400,365.0,110.0,80.0,90.0,95.0,90.0,65.0,3.0,False,530
404,369.0,100.0,90.0,130.0,45.0,65.0,55.0,3.0,False,485
408,373.0,95.0,135.0,80.0,110.0,80.0,100.0,3.0,False,600
409,373.0,95.0,145.0,130.0,120.0,90.0,120.0,3.0,False,700
410,374.0,40.0,55.0,80.0,35.0,60.0,30.0,3.0,False,300
411,375.0,60.0,75.0,100.0,55.0,80.0,50.0,3.0,False,420
412,376.0,80.0,135.0,130.0,95.0,90.0,70.0,3.0,False,600
413,376.0,80.0,145.0,150.0,105.0,110.0,110.0,3.0,False,700
417,380.0,80.0,80.0,90.0,110.0,130.0,110.0,3.0,True,600
418,380.0,80.0,100.0,120.0,140.0,150.0,110.0,3.0,True,700
419,381.0,80.0,90.0,80.0,130.0,110.0,110.0,3.0,True,600
420,381.0,80.0,130.0,100.0,160.0,120.0,110.0,3.0,True,700
424,383.0,100.0,180.0,160.0,150.0,90.0,90.0,3.0,True,770
425,384.0,105.0,150.0,90.0,150.0,90.0,95.0,3.0,True,680
426,384.0,105.0,180.0,100.0,180.0,100.0,115.0,3.0,True,780
427,385.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,True,600
434,389.0,95.0,109.0,105.0,75.0,85.0,56.0,4.0,False,525
436,391.0,64.0,78.0,52.0,78.0,52.0,81.0,4.0,False,405
437,392.0,76.0,104.0,71.0,104.0,71.0,108.0,4.0,False,534
440,395.0,84.0,86.0,88.0,111.0,101.0,60.0,4.0,False,530
441,396.0,40.0,55.0,30.0,30.0,30.0,60.0,4.0,False,245
442,397.0,55.0,75.0,50.0,40.0,40.0,80.0,4.0,False,340
443,398.0,85.0,120.0,70.0,50.0,60.0,100.0,4.0,False,485
445,400.0,79.0,85.0,60.0,55.0,60.0,71.0,4.0,False,410
451,406.0,40.0,30.0,35.0,50.0,70.0,55.0,4.0,False,280
452,407.0,60.0,70.0,65.0,125.0,105.0,90.0,4.0,False,515
455,410.0,30.0,42.0,118.0,42.0,88.0,30.0,4.0,False,350
456,411.0,60.0,52.0,168.0,47.0,138.0,30.0,4.0,False,495
458,413.0,60.0,59.0,85.0,79.0,105.0,36.0,4.0,False,424
459,413.0,60.0,79.0,105.0,59.0,85.0,36.0,4.0,False,424
460,413.0,60.0,69.0,95.0,69.0,95.0,36.0,4.0,False,424
461,414.0,70.0,94.0,50.0,94.0,50.0,66.0,4.0,False,424
462,415.0,30.0,30.0,42.0,30.0,42.0,70.0,4.0,False,244
463,416.0,70.0,80.0,102.0,80.0,102.0,40.0,4.0,False,474
470,423.0,111.0,83.0,68.0,92.0,82.0,39.0,4.0,False,475
472,425.0,90.0,50.0,34.0,60.0,44.0,70.0,4.0,False,348
473,426.0,150.0,80.0,44.0,90.0,54.0,80.0,4.0,False,498
476,428.0,65.0,136.0,94.0,54.0,96.0,135.0,4.0,False,580
478,430.0,100.0,125.0,52.0,105.0,52.0,71.0,4.0,False,505
482,434.0,63.0,63.0,47.0,41.0,41.0,74.0,4.0,False,329
483,435.0,103.0,93.0,67.0,71.0,61.0,84.0,4.0,False,479
484,436.0,57.0,24.0,86.0,24.0,86.0,23.0,4.0,False,300
485,437.0,67.0,89.0,116.0,79.0,116.0,33.0,4.0,False,500
487,439.0,20.0,25.0,45.0,70.0,90.0,60.0,4.0,False,310
489,441.0,76.0,65.0,45.0,92.0,42.0,91.0,4.0,False,411
490,442.0,50.0,92.0,108.0,92.0,108.0,35.0,4.0,False,485
491,443.0,58.0,70.0,45.0,40.0,45.0,42.0,4.0,False,300
492,444.0,68.0,90.0,65.0,50.0,55.0,82.0,4.0,False,410
493,445.0,108.0,130.0,95.0,80.0,85.0,102.0,4.0,False,600
494,445.0,108.0,170.0,115.0,120.0,95.0,92.0,4.0,False,700
497,448.0,70.0,110.0,70.0,115.0,70.0,90.0,4.0,False,525
498,448.0,70.0,145.0,88.0,140.0,70.0,112.0,4.0,False,625
501,451.0,40.0,50.0,90.0,30.0,55.0,65.0,4.0,False,330
502,452.0,70.0,90.0,110.0,60.0,75.0,95.0,4.0,False,500
503,453.0,48.0,61.0,40.0,61.0,40.0,50.0,4.0,False,300
504,454.0,83.0,106.0,65.0,86.0,65.0,85.0,4.0,False,490
508,458.0,45.0,20.0,50.0,60.0,120.0,50.0,4.0,False,345
509,459.0,60.0,62.0,50.0,62.0,60.0,40.0,4.0,False,334
510,460.0,90.0,92.0,75.0,92.0,85.0,60.0,4.0,False,494
511,460.0,90.0,132.0,105.0,132.0,105.0,30.0,4.0,False,594
512,461.0,70.0,120.0,65.0,45.0,85.0,125.0,4.0,False,510
513,462.0,70.0,70.0,115.0,130.0,90.0,60.0,4.0,False,535
515,464.0,115.0,140.0,130.0,55.0,55.0,40.0,4.0,False,535
519,468.0,85.0,50.0,95.0,120.0,115.0,80.0,4.0,False,545
520,469.0,86.0,76.0,86.0,116.0,56.0,95.0,4.0,False,515
523,472.0,75.0,95.0,125.0,45.0,75.0,95.0,4.0,False,510
524,473.0,110.0,130.0,80.0,70.0,60.0,80.0,4.0,False,530
526,475.0,68.0,125.0,65.0,65.0,115.0,80.0,4.0,False,518
527,475.0,68.0,165.0,95.0,65.0,115.0,110.0,4.0,False,618
528,476.0,60.0,55.0,145.0,75.0,150.0,40.0,4.0,False,525
530,478.0,70.0,80.0,70.0,80.0,70.0,110.0,4.0,False,480
531,479.0,50.0,50.0,77.0,95.0,77.0,91.0,4.0,False,440
532,479.0,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False,520
533,479.0,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False,520
534,479.0,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False,520
535,479.0,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False,520
536,479.0,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False,520
540,483.0,100.0,120.0,120.0,150.0,100.0,90.0,4.0,True,680
541,484.0,90.0,120.0,100.0,150.0,120.0,100.0,4.0,True,680
542,485.0,91.0,90.0,106.0,130.0,106.0,77.0,4.0,True,600
544,487.0,150.0,100.0,120.0,100.0,120.0,90.0,4.0,True,680
545,487.0,150.0,120.0,100.0,120.0,100.0,90.0,4.0,True,680
551,492.0,100.0,103.0,75.0,120.0,75.0,127.0,4.0,True,600
553,494.0,100.0,100.0,100.0,100.0,100.0,100.0,5.0,True,600
558,499.0,90.0,93.0,55.0,70.0,55.0,55.0,5.0,False,418
559,500.0,110.0,123.0,65.0,100.0,65.0,65.0,5.0,False,528
578,519.0,50.0,55.0,50.0,36.0,30.0,43.0,5.0,False,264
579,520.0,62.0,77.0,62.0,50.0,42.0,65.0,5.0,False,358
580,521.0,80.0,115.0,80.0,65.0,55.0,93.0,5.0,False,488
586,527.0,55.0,45.0,43.0,55.0,43.0,72.0,5.0,False,313
587,528.0,67.0,57.0,55.0,77.0,55.0,114.0,5.0,False,425
589,530.0,110.0,135.0,60.0,50.0,65.0,88.0,5.0,False,508
591,531.0,103.0,60.0,126.0,80.0,126.0,50.0,5.0,False,545
596,536.0,75.0,65.0,55.0,65.0,55.0,69.0,5.0,False,384
597,537.0,105.0,95.0,75.0,85.0,75.0,74.0,5.0,False,509
600,540.0,45.0,53.0,70.0,40.0,60.0,42.0,5.0,False,310
601,541.0,55.0,63.0,90.0,50.0,80.0,42.0,5.0,False,380
602,542.0,75.0,103.0,80.0,70.0,80.0,92.0,5.0,False,500
603,543.0,30.0,45.0,59.0,30.0,39.0,57.0,5.0,False,260
604,544.0,40.0,55.0,99.0,40.0,79.0,47.0,5.0,False,360
605,545.0,60.0,100.0,89.0,55.0,69.0,112.0,5.0,False,485
606,546.0,40.0,27.0,60.0,37.0,50.0,66.0,5.0,False,280
607,547.0,60.0,67.0,85.0,77.0,75.0,116.0,5.0,False,480
611,551.0,50.0,72.0,35.0,35.0,35.0,65.0,5.0,False,292
612,552.0,60.0,82.0,45.0,45.0,45.0,74.0,5.0,False,351
613,553.0,95.0,117.0,80.0,65.0,70.0,92.0,5.0,False,519
616,555.0,105.0,30.0,105.0,140.0,105.0,55.0,5.0,False,540
618,557.0,50.0,65.0,85.0,35.0,35.0,55.0,5.0,False,325
619,558.0,70.0,95.0,125.0,65.0,75.0,45.0,5.0,False,475
620,559.0,50.0,75.0,70.0,35.0,70.0,48.0,5.0,False,348
621,560.0,65.0,90.0,115.0,45.0,115.0,58.0,5.0,False,488
622,561.0,72.0,58.0,80.0,103.0,80.0,97.0,5.0,False,490
625,564.0,54.0,78.0,103.0,53.0,45.0,22.0,5.0,False,355
626,565.0,74.0,108.0,133.0,83.0,65.0,32.0,5.0,False,495
627,566.0,55.0,112.0,45.0,74.0,45.0,70.0,5.0,False,401
628,567.0,75.0,140.0,65.0,112.0,65.0,110.0,5.0,False,567
641,580.0,62.0,44.0,50.0,44.0,50.0,55.0,5.0,False,305
642,581.0,75.0,87.0,63.0,87.0,63.0,98.0,5.0,False,473
646,585.0,60.0,60.0,50.0,40.0,50.0,75.0,5.0,False,335
647,586.0,80.0,100.0,70.0,60.0,70.0,95.0,5.0,False,475
648,587.0,55.0,75.0,60.0,75.0,60.0,103.0,5.0,False,428
650,589.0,70.0,135.0,105.0,60.0,105.0,20.0,5.0,False,495
651,590.0,69.0,55.0,45.0,55.0,55.0,15.0,5.0,False,294
652,591.0,114.0,85.0,70.0,85.0,80.0,30.0,5.0,False,464
653,592.0,55.0,40.0,50.0,65.0,85.0,40.0,5.0,False,335
654,593.0,100.0,60.0,70.0,85.0,105.0,60.0,5.0,False,480
656,595.0,50.0,47.0,50.0,57.0,50.0,65.0,5.0,False,319
657,596.0,70.0,77.0,60.0,97.0,60.0,108.0,5.0,False,472
658,597.0,44.0,50.0,91.0,24.0,86.0,10.0,5.0,False,305
659,598.0,74.0,94.0,131.0,54.0,116.0,20.0,5.0,False,489
668,607.0,50.0,30.0,55.0,65.0,55.0,20.0,5.0,False,275
669,608.0,60.0,40.0,60.0,95.0,60.0,55.0,5.0,False,370
670,609.0,60.0,55.0,90.0,145.0,90.0,80.0,5.0,False,520
679,618.0,109.0,66.0,84.0,81.0,99.0,32.0,5.0,False,471
683,622.0,59.0,74.0,50.0,35.0,50.0,35.0,5.0,False,303
684,623.0,89.0,124.0,80.0,55.0,80.0,55.0,5.0,False,483
685,624.0,45.0,85.0,70.0,40.0,40.0,60.0,5.0,False,340
686,625.0,65.0,125.0,100.0,60.0,70.0,70.0,5.0,False,490
688,627.0,70.0,83.0,50.0,37.0,50.0,60.0,5.0,False,350
689,628.0,100.0,123.0,75.0,57.0,75.0,80.0,5.0,False,510
690,629.0,70.0,55.0,75.0,45.0,65.0,60.0,5.0,False,370
691,630.0,110.0,65.0,105.0,55.0,95.0,80.0,5.0,False,510
693,632.0,58.0,109.0,112.0,48.0,48.0,109.0,5.0,False,484
694,633.0,52.0,65.0,50.0,45.0,50.0,38.0,5.0,False,300
695,634.0,72.0,85.0,70.0,65.0,70.0,58.0,5.0,False,420
696,635.0,92.0,105.0,90.0,125.0,90.0,98.0,5.0,False,600
697,636.0,55.0,85.0,55.0,50.0,55.0,60.0,5.0,False,360
698,637.0,85.0,60.0,65.0,135.0,105.0,100.0,5.0,False,550
699,638.0,91.0,90.0,129.0,90.0,72.0,108.0,5.0,True,580
700,639.0,91.0,129.0,90.0,72.0,90.0,108.0,5.0,True,580
701,640.0,91.0,90.0,72.0,90.0,129.0,108.0,5.0,True,580
704,642.0,79.0,115.0,70.0,125.0,80.0,111.0,5.0,True,580
705,642.0,79.0,105.0,70.0,145.0,80.0,101.0,5.0,True,580
706,643.0,100.0,120.0,100.0,150.0,120.0,90.0,5.0,True,680
707,644.0,100.0,150.0,120.0,120.0,100.0,90.0,5.0,True,680
708,645.0,89.0,125.0,90.0,115.0,80.0,101.0,5.0,True,600
709,645.0,89.0,145.0,90.0,105.0,80.0,91.0,5.0,True,600
710,646.0,125.0,130.0,90.0,130.0,90.0,95.0,5.0,True,660
711,646.0,125.0,170.0,100.0,120.0,90.0,95.0,5.0,True,700
712,646.0,125.0,120.0,90.0,170.0,100.0,95.0,5.0,True,700
713,647.0,91.0,72.0,90.0,129.0,90.0,108.0,5.0,False,580
714,647.0,91.0,72.0,90.0,129.0,90.0,108.0,5.0,False,580
715,648.0,100.0,77.0,77.0,128.0,128.0,90.0,5.0,False,600
716,648.0,100.0,128.0,90.0,77.0,77.0,128.0,5.0,False,600
717,649.0,71.0,120.0,95.0,120.0,95.0,99.0,5.0,False,600
720,652.0,88.0,107.0,122.0,74.0,75.0,64.0,6.0,False,530
723,655.0,75.0,69.0,72.0,114.0,100.0,104.0,6.0,False,534
