,carat,cut,depth,table,x,y,z,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
719,1.2,1,67.9,62.0,6.19,6.03,4.15,0,0,0,0,1,0,0,1,0,0,0,0,0,2856
750,1.2,1,66.1,56.0,6.21,5.97,4.04,0,0,0,1,0,0,0,0,1,0,0,0,0,2856
800,1.22,4,60.9,57.0,6.93,6.88,4.21,1,0,0,0,0,0,0,0,0,0,0,0,0,2862
801,1.2,1,67.6,57.0,6.21,6.11,4.18,1,0,0,0,0,0,0,0,1,0,0,0,0,2862
839,1.2,1,68.2,61.0,6.07,5.88,4.1,0,1,0,0,0,0,0,0,1,0,0,0,0,2867
844,1.2,4,61.9,60.0,6.55,6.48,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,2869
895,1.2,1,67.7,60.0,6.11,5.98,4.09,0,0,0,1,0,0,0,0,1,0,0,0,0,2875
897,1.2,1,65.5,55.0,6.3,6.25,4.11,0,0,0,0,0,1,0,0,0,1,0,0,0,2875
898,1.2,1,66.3,61.0,6.08,6.03,4.01,0,0,0,0,1,0,0,1,0,0,0,0,0,2875
899,1.2,1,69.5,55.0,6.17,6.1,4.26,0,0,0,1,0,0,0,0,1,0,0,0,0,2875
925,1.2,4,62.0,59.0,6.5,6.47,4.02,0,0,0,1,0,0,0,0,0,0,0,0,0,2881
934,1.2,1,65.3,55.0,6.32,6.27,4.11,0,0,0,0,1,0,0,0,1,0,0,0,0,2884
967,1.2,1,65.1,59.0,6.62,6.55,4.29,0,0,0,1,0,0,0,0,0,0,0,0,0,2892
991,1.2,3,63.1,57.0,6.39,6.35,4.02,0,0,0,0,1,0,0,0,0,0,0,0,0,2896
999,1.2,4,60.6,59.0,6.68,6.61,4.03,0,0,0,0,0,1,0,0,1,0,0,0,0,2898
1096,1.2,1,65.2,54.0,6.3,6.22,4.08,0,0,0,1,0,0,0,0,1,0,0,0,0,2912
1097,1.2,1,66.0,56.0,6.31,6.24,4.13,0,0,0,0,1,0,0,1,0,0,0,0,0,2912
1098,1.2,1,67.0,55.0,6.25,6.12,4.16,0,0,0,1,0,0,0,0,1,0,0,0,0,2912
1163,1.2,4,60.5,58.0,6.9,6.79,4.14,0,0,0,0,1,0,0,0,0,0,0,0,0,2925
1199,1.2,1,65.4,62.0,6.68,6.57,4.33,0,0,0,0,1,0,0,0,0,0,0,0,0,2935
1224,1.24,3,61.9,55.0,6.85,6.92,4.26,0,0,0,0,0,1,0,0,0,0,0,0,0,2940
1235,1.2,1,65.7,59.0,6.3,6.24,4.12,0,0,1,0,0,0,0,0,1,0,0,0,0,2942
1238,1.2,1,67.1,59.0,6.27,6.19,4.18,0,0,1,0,0,0,0,0,1,0,0,0,0,2942
1270,1.2,1,65.8,58.0,6.28,6.16,4.09,1,0,0,0,0,0,0,0,1,0,0,0,0,2948
1361,1.2,1,65.7,54.0,6.24,6.16,4.07,0,0,1,0,0,0,0,1,0,0,0,0,0,2964
1362,1.5,1,65.6,54.0,7.26,7.09,4.7,0,0,0,1,0,0,0,0,0,0,0,0,0,2964
1412,1.2,1,64.8,59.0,6.52,6.42,4.19,0,0,0,1,0,0,0,0,0,0,0,0,0,2968
1414,1.2,4,61.5,57.0,6.57,6.49,4.02,0,0,0,0,1,0,0,0,1,0,0,0,0,2968
1438,1.2,1,69.3,58.0,5.96,5.87,4.1,0,0,0,0,0,0,0,0,1,0,0,0,0,2974
1487,1.2,3,63.2,58.0,6.44,6.34,4.04,0,0,1,0,0,0,0,0,0,0,0,0,0,2988
1506,1.2,1,65.1,57.0,6.27,6.22,4.07,0,0,1,0,0,0,0,1,0,0,0,0,0,2993
1510,1.24,4,61.9,55.0,6.92,6.85,4.26,0,0,0,0,0,1,0,0,0,0,0,0,0,2994
1523,1.2,1,66.0,56.0,6.29,6.22,4.13,0,0,0,0,0,1,0,0,0,0,0,0,1,2998
1554,1.2,1,64.6,56.0,6.31,6.24,4.05,0,0,0,0,0,0,0,0,1,0,0,0,0,3003
1597,1.2,1,64.9,59.0,6.61,6.54,4.27,0,0,0,0,0,1,0,0,0,0,0,0,0,3011
1598,1.2,1,62.2,66.0,6.77,6.7,4.2,0,0,0,0,1,0,0,0,0,0,0,0,0,3011
1599,1.2,1,66.2,55.0,6.61,6.51,4.34,0,0,0,0,1,0,0,0,0,0,0,0,0,3011
1639,1.2,4,60.3,60.0,6.75,6.69,4.05,0,0,1,0,0,0,0,0,0,0,0,0,0,3017
1642,1.2,3,61.2,63.0,6.68,6.59,4.05,0,0,1,0,0,0,0,0,0,0,0,0,0,3017
1649,1.2,3,63.3,56.0,6.38,6.31,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,3018
1675,1.2,1,66.8,55.0,6.25,6.18,4.15,0,0,0,0,0,1,0,1,0,0,0,0,0,3027
1676,1.2,1,64.9,57.0,6.29,6.2,4.05,0,0,1,0,0,0,0,0,1,0,0,0,0,3027
1684,1.2,2,63.8,57.0,6.4,6.33,4.06,1,0,0,0,0,0,0,0,0,0,0,0,0,3032
1763,1.2,5,60.2,57.0,6.81,6.71,4.07,0,0,0,0,0,1,0,1,0,0,0,0,0,3045
1790,1.2,2,63.1,60.0,6.31,6.4,4.01,1,0,0,0,0,0,0,0,0,0,0,0,0,3051
1795,1.2,1,66.1,56.0,6.26,6.2,4.12,0,0,1,0,0,0,0,1,0,0,0,0,0,3052
1810,1.2,1,66.1,58.0,6.21,6.04,4.05,0,0,0,0,1,0,0,0,1,0,0,0,0,3054
1811,1.2,1,68.1,59.0,6.14,6.11,4.17,0,0,0,0,1,0,0,0,1,0,0,0,0,3054
1829,1.2,3,62.4,57.0,6.41,6.45,4.01,0,0,1,0,0,0,0,0,0,0,0,0,0,3060
1906,1.2,1,66.6,57.0,6.07,6.03,4.03,0,0,0,0,0,1,0,0,0,1,0,0,0,3080
1908,1.2,4,62.8,60.0,6.46,6.34,4.02,0,0,0,1,0,0,0,0,1,0,0,0,0,3080
1947,1.2,1,64.5,56.0,6.28,6.25,4.04,0,0,0,0,1,0,0,0,1,0,0,0,0,3084
1958,1.2,2,63.7,60.0,6.4,6.29,4.05,0,0,0,0,0,1,0,0,1,0,0,0,0,3088
1959,1.2,3,63.3,53.0,6.35,6.31,4.01,0,0,0,0,0,1,0,0,1,0,0,0,0,3088
1974,1.2,4,60.3,58.0,6.82,6.77,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,3091
1976,1.2,3,63.4,57.0,6.41,6.32,4.04,0,0,0,1,0,0,0,0,1,0,0,0,0,3091
1997,1.29,2,64.2,54.0,6.93,6.83,4.42,0,0,0,0,1,0,0,0,0,0,0,0,0,3098
2024,1.52,2,57.3,58.0,7.53,7.42,4.28,1,0,0,0,0,0,0,0,0,0,0,0,0,3105
2025,1.52,2,57.3,58.0,7.53,7.42,4.28,1,0,0,0,0,0,0,0,0,0,0,0,0,3105
2081,1.2,2,63.2,58.0,6.33,6.39,4.02,0,0,0,1,0,0,0,0,0,0,0,0,0,3110
2083,1.2,2,64.1,56.0,6.37,6.3,4.06,0,0,0,1,0,0,0,0,1,0,0,0,0,3111
2109,1.2,4,61.7,59.0,6.54,6.59,4.05,0,0,0,1,0,0,0,0,0,0,0,0,0,3118
2112,1.2,1,68.2,55.0,6.47,6.37,4.38,0,0,0,1,0,0,0,0,1,0,0,0,0,3118
2118,1.2,1,65.0,59.0,6.34,6.24,4.08,0,0,0,0,0,1,0,0,1,0,0,0,0,3119
2149,1.2,2,63.4,58.0,6.58,6.61,4.18,0,0,1,0,0,0,0,0,0,0,0,0,0,3127
2159,1.2,2,64.3,58.0,6.25,6.22,4.01,0,0,0,0,0,1,0,0,0,0,1,0,0,3129
2177,1.2,1,66.6,59.0,6.07,6.01,4.02,1,0,0,0,0,0,0,0,1,0,0,0,0,3136
2182,1.2,1,67.0,53.0,6.19,6.13,4.13,1,0,0,0,0,0,0,0,1,0,0,0,0,3136
2183,1.2,1,67.0,53.0,6.19,6.13,4.13,1,0,0,0,0,0,0,0,1,0,0,0,0,3136
2209,1.2,1,64.6,67.0,6.25,6.19,4.02,0,0,1,0,0,0,0,0,1,0,0,0,0,3142
2212,1.2,1,68.3,54.0,6.21,6.12,4.2,0,0,1,0,0,0,0,0,1,0,0,0,0,3142
2241,1.2,5,62.8,55.0,6.51,6.46,4.07,0,0,0,0,1,0,0,0,1,0,0,0,0,3146
2242,1.2,1,65.5,56.0,6.3,6.19,4.09,0,1,0,0,0,0,0,0,1,0,0,0,0,3146
2246,1.2,5,62.8,57.0,6.45,6.39,4.03,0,0,0,0,1,0,0,0,0,0,1,0,0,3148
2248,1.2,2,64.1,62.0,6.37,6.33,4.07,0,0,0,0,0,1,0,0,1,0,0,0,0,3149
2249,1.2,1,64.6,62.0,6.3,6.21,4.06,0,0,0,0,0,1,0,0,1,0,0,0,0,3149
2308,1.2,1,63.7,54.0,6.42,6.27,4.06,0,0,0,1,0,0,0,0,1,0,0,0,0,3164
2323,1.2,3,63.2,58.0,6.39,6.33,4.02,0,0,0,1,0,0,0,0,0,0,0,0,0,3167
2324,1.2,5,61.8,56.0,6.64,6.62,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,3168
2325,1.23,5,61.6,55.0,6.92,6.87,4.25,0,0,0,1,0,0,0,0,0,0,0,0,0,3168
2336,1.2,1,66.3,56.0,6.47,6.39,4.27,0,1,0,0,0,0,0,0,1,0,0,0,0,3170
2356,1.2,1,68.5,63.0,6.08,6.0,4.14,0,0,1,0,0,0,0,0,1,0,0,0,0,3173
2365,1.2,1,65.3,57.0,6.33,6.12,4.08,0,0,0,0,0,1,0,1,0,0,0,0,0,3175
2366,1.5,1,69.3,61.0,6.99,6.81,4.78,0,0,0,1,0,0,0,0,0,0,0,0,0,3175
2411,1.5,2,57.4,62.0,7.56,7.39,4.29,0,0,1,0,0,0,0,0,0,0,0,0,0,3179
2432,1.2,4,61.8,59.0,6.65,6.58,4.09,0,0,0,0,1,0,0,0,0,0,0,0,0,3183
2460,1.2,1,65.8,55.0,6.29,6.24,4.12,0,0,0,0,0,1,0,0,0,0,1,0,0,3190
2476,1.2,1,64.4,57.0,6.35,6.29,4.07,0,0,0,1,0,0,0,0,1,0,0,0,0,3192
2497,1.2,1,66.1,60.0,6.15,6.13,4.06,0,1,0,0,0,0,0,1,0,0,0,0,0,3197
2521,1.2,2,63.9,58.0,6.35,6.42,4.08,0,0,0,1,0,0,0,0,0,0,0,0,0,3203
2526,1.2,2,63.8,56.0,6.36,6.32,4.05,0,0,0,0,0,1,0,0,1,0,0,0,0,3204
2528,1.2,4,61.0,59.0,6.61,6.67,4.05,0,0,0,1,0,0,0,0,0,0,0,0,0,3205
2585,1.2,4,60.0,58.0,6.77,6.66,4.03,0,0,0,0,0,1,0,0,1,0,0,0,0,3216
2586,1.2,5,61.7,56.0,6.65,6.6,4.09,0,0,0,0,1,0,0,0,1,0,0,0,0,3216
2600,1.2,3,59.9,63.0,6.8,6.85,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,3219
2610,1.2,4,60.4,58.0,6.8,6.75,4.09,0,0,0,1,0,0,0,0,1,0,0,0,0,3220
2651,1.2,3,62.2,61.0,6.48,6.51,4.04,1,0,0,0,0,0,0,0,0,0,0,0,0,3234
2745,1.2,1,66.5,62.0,6.19,6.1,4.09,0,0,0,1,0,0,0,0,1,0,0,0,0,3248
2800,1.2,2,63.9,58.0,6.42,6.35,4.08,0,0,0,1,0,0,0,0,0,0,0,0,0,3261
2806,1.2,4,61.0,59.0,6.67,6.61,4.05,0,0,0,1,0,0,0,0,0,0,0,0,0,3263
2816,1.2,1,65.7,58.0,6.25,6.2,4.09,0,0,0,0,1,0,0,0,0,0,1,0,0,3265
2817,1.2,3,63.2,58.0,6.43,6.32,4.03,0,0,0,0,1,0,0,0,0,0,1,0,0,3265
2818,1.2,2,63.7,57.0,6.34,6.31,4.03,0,0,0,0,0,1,0,0,0,0,0,0,1,3265
2819,1.2,1,65.1,55.0,6.26,6.23,4.07,0,1,0,0,0,0,0,0,1,0,0,0,0,3265
2820,1.2,1,65.1,55.0,6.26,6.23,4.07,0,1,0,0,0,0,0,0,1,0,0,0,0,3265
2824,1.2,4,60.7,61.0,6.71,6.64,4.05,0,0,0,0,0,1,0,0,1,0,0,0,0,3266
2866,1.2,3,63.2,58.0,6.42,6.35,4.04,0,0,1,0,0,0,0,0,1,0,0,0,0,3275
2877,1.25,5,60.9,56.0,6.95,6.91,4.22,1,0,0,0,0,0,0,0,0,0,0,0,0,3276
2881,1.2,3,59.9,63.0,6.85,6.8,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,3278
2884,1.2,1,65.5,58.0,6.28,6.24,4.1,0,0,0,0,1,0,0,1,0,0,0,0,0,3280
2913,1.2,1,68.4,53.0,6.05,5.97,4.11,0,0,0,1,0,0,0,1,0,0,0,0,0,3285
2927,1.2,3,63.1,56.0,6.43,6.38,4.04,0,0,0,1,0,0,0,0,1,0,0,0,0,3288
2934,1.2,1,66.2,57.0,6.34,6.26,4.17,0,0,0,0,1,0,0,0,1,0,0,0,0,3290
2945,1.2,4,62.2,61.0,6.51,6.48,4.04,1,0,0,0,0,0,0,0,0,0,0,0,0,3293
2948,1.2,1,64.6,59.0,6.22,6.18,4.01,1,0,0,0,0,0,0,0,1,0,0,0,0,3294
2960,1.2,3,61.8,63.0,6.57,6.47,4.03,0,0,0,1,0,0,0,0,1,0,0,0,0,3296
2962,1.2,4,62.5,59.0,6.5,6.47,4.05,0,0,1,0,0,0,0,0,1,0,0,0,0,3296
2966,1.2,2,63.1,58.0,6.34,6.38,4.01,0,0,0,0,0,1,0,0,1,0,0,0,0,3298
2981,1.2,1,69.7,59.0,6.09,5.9,4.18,0,0,1,0,0,0,0,1,0,0,0,0,0,3299
2991,1.2,1,64.9,60.0,6.46,6.32,4.15,0,0,0,0,0,1,0,0,1,0,0,0,0,3302
3008,1.2,1,64.8,60.0,6.23,6.18,4.02,0,0,0,0,0,0,0,0,1,0,0,0,0,3304
3009,1.2,1,65.8,55.0,6.22,6.19,4.08,0,0,1,0,0,0,0,1,0,0,0,0,0,3304
3010,1.2,3,63.4,58.0,6.33,6.3,4.01,0,0,0,0,0,0,0,0,1,0,0,0,0,3304
3011,1.2,2,64.0,54.0,6.29,6.24,4.01,0,0,0,0,0,0,0,0,1,0,0,0,0,3304
3075,1.24,5,62.5,57.0,6.89,6.84,4.29,0,0,0,0,1,0,0,0,1,0,0,0,0,3312
3080,1.24,5,62.3,57.0,6.86,6.81,4.26,0,0,0,0,0,1,0,1,0,0,0,0,0,3312
3103,1.2,5,61.0,56.0,6.62,6.56,4.02,0,0,1,0,0,0,0,0,1,0,0,0,0,3321
3137,1.27,5,62.3,56.0,6.91,6.86,4.29,0,0,0,0,1,0,0,0,0,0,0,0,0,3328
3151,1.2,1,66.6,56.0,6.12,6.02,4.04,0,0,1,0,0,0,0,0,1,0,0,0,0,3332
3214,1.2,1,65.8,58.0,6.23,6.27,4.11,0,0,0,0,1,0,0,0,1,0,0,0,0,3348
3216,1.2,2,64.1,58.0,6.26,6.31,4.03,0,0,0,0,1,0,0,0,1,0,0,0,0,3349
3230,1.2,4,62.8,56.0,6.54,6.47,4.08,0,0,0,1,0,0,0,0,1,0,0,0,0,3352
3231,1.2,4,61.7,59.0,6.59,6.53,4.05,0,0,0,1,0,0,0,0,1,0,0,0,0,3352
3238,1.2,1,66.0,50.1,6.13,6.17,4.06,0,0,0,1,0,0,0,0,1,0,0,0,0,3353
3241,1.2,2,64.3,59.0,6.37,6.42,4.11,0,1,0,0,0,0,0,0,0,0,0,0,0,3354
3247,1.28,5,61.9,56.0,6.95,6.91,4.29,0,0,0,1,0,0,0,0,0,0,0,0,0,3355
3262,1.2,3,63.1,58.0,6.38,6.34,4.01,0,0,0,0,0,1,0,0,1,0,0,0,0,3359
3270,1.2,2,64.3,57.0,6.29,6.25,4.03,0,0,0,0,1,0,0,1,0,0,0,0,0,3360
3297,1.2,5,61.2,56.0,6.76,6.71,4.12,0,1,0,0,0,0,0,0,0,0,0,0,0,3366
3328,1.23,4,60.8,59.0,6.96,6.91,4.22,0,1,0,0,0,0,0,0,0,0,0,0,0,3375
3344,1.2,4,62.0,58.0,6.47,6.52,4.03,0,0,0,0,0,1,0,0,1,0,0,0,0,3378
3446,1.2,1,68.7,55.0,6.06,5.88,4.11,0,1,0,0,0,0,0,1,0,0,0,0,0,3387
3451,1.2,4,59.2,59.0,6.8,6.74,4.01,0,0,0,1,0,0,0,0,1,0,0,0,0,3388
3463,1.2,4,62.9,59.0,6.43,6.39,4.03,0,0,0,0,0,1,0,0,1,0,0,0,0,3391
3510,1.2,1,64.4,55.0,6.56,6.54,4.22,0,0,0,0,0,1,0,0,1,0,0,0,0,3403
3529,1.2,2,64.2,58.0,6.42,6.34,4.1,0,0,0,0,0,1,0,1,0,0,0,0,0,3407
3540,1.2,2,64.1,58.0,6.31,6.26,4.03,0,0,0,0,1,0,0,0,1,0,0,0,0,3411
3542,1.2,5,62.1,55.0,6.55,6.59,4.08,0,0,0,1,0,0,0,0,0,0,0,0,0,3412
3549,1.2,5,61.5,54.0,6.64,6.6,4.07,0,0,0,1,0,0,0,1,0,0,0,0,0,3415
3551,1.2,2,64.3,59.0,6.42,6.37,4.11,0,1,0,0,0,0,0,0,0,0,0,0,0,3415
3552,1.21,2,64.0,59.0,6.78,6.73,4.32,0,0,1,0,0,0,0,0,0,0,0,0,0,3415
3565,1.2,3,63.1,58.0,6.51,6.46,4.09,1,0,0,0,0,0,0,0,1,0,0,0,0,3418
3588,1.2,1,65.3,61.0,6.33,6.13,4.03,0,0,0,0,0,1,0,0,0,0,1,0,0,3422
3604,1.2,2,64.2,59.0,6.47,6.38,4.13,0,0,0,0,0,1,0,0,1,0,0,0,0,3425
3605,1.2,1,64.9,58.0,6.29,6.23,4.06,0,0,0,0,0,1,0,1,0,0,0,0,0,3427
3614,1.2,5,62.2,56.0,6.52,6.5,4.05,0,0,0,0,1,0,0,0,0,0,1,0,0,3428
3664,1.2,1,65.7,61.0,6.13,6.11,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,3443
3665,1.2,1,64.6,58.0,6.48,6.41,4.16,0,0,0,0,0,1,0,0,0,0,1,0,0,3443
3666,1.22,3,63.5,58.0,6.8,6.75,4.3,0,0,0,0,0,1,0,0,1,0,0,0,0,3443
3669,1.2,4,62.3,59.0,6.42,6.46,4.01,0,1,0,0,0,0,0,0,0,0,0,0,0,3444
3697,1.2,3,61.6,58.0,6.47,6.58,4.02,0,0,0,0,1,0,0,0,1,0,0,0,0,3449
3711,1.2,5,62.7,57.0,6.45,6.37,4.02,0,0,0,0,0,1,0,0,0,0,0,0,1,3451
3767,1.5,4,60.1,57.0,7.4,7.28,4.42,0,0,0,1,0,0,0,0,0,0,0,0,0,3457
3768,1.2,3,62.8,57.0,6.44,6.5,4.06,0,0,0,0,0,1,0,0,1,0,0,0,0,3459
3775,1.2,5,62.6,57.0,6.44,6.4,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,3461
3777,1.2,1,65.1,58.0,6.29,6.21,4.07,0,0,1,0,0,0,0,0,1,0,0,0,0,3461
3779,1.2,5,62.7,56.0,6.52,6.47,4.07,0,1,0,0,0,0,0,0,1,0,0,0,0,3461
3782,1.2,2,64.0,59.0,6.34,6.31,4.05,0,0,1,0,0,0,0,0,1,0,0,0,0,3461
3786,1.2,3,63.5,59.0,6.3,6.36,4.02,0,0,0,0,0,1,0,0,1,0,0,0,0,3462
3799,1.2,2,63.9,60.0,6.26,6.3,4.01,0,0,0,0,1,0,0,0,1,0,0,0,0,3465
3808,1.25,2,60.5,64.0,6.91,6.82,4.15,0,0,0,0,1,0,0,0,1,0,0,0,0,3465
3809,1.2,2,63.9,60.0,6.33,6.37,4.06,0,0,1,0,0,0,0,0,1,0,0,0,0,3466
3819,1.2,4,62.5,56.0,6.63,6.55,4.12,0,0,0,0,1,0,0,0,1,0,0,0,0,3469
3836,1.2,1,66.1,59.0,6.18,6.13,4.07,0,0,0,1,0,0,0,0,1,0,0,0,0,3472
3850,1.2,1,64.8,55.0,6.37,6.26,4.1,0,1,0,0,0,0,0,0,1,0,0,0,0,3477
3869,1.2,4,62.7,59.0,6.58,6.63,4.14,0,0,0,1,0,0,0,0,0,0,0,0,0,3480
3883,1.2,2,64.2,60.0,6.35,6.27,4.05,0,0,0,0,1,0,0,0,0,1,0,0,0,3484
3926,1.51,2,64.0,59.0,7.29,7.17,4.63,0,0,1,0,0,0,0,0,0,0,0,0,0,3497
3955,1.52,1,64.9,58.0,7.18,7.13,4.65,0,0,0,1,0,0,0,0,0,0,0,0,0,3504
3956,1.2,5,61.9,56.0,6.82,6.85,4.23,0,0,0,0,1,0,0,0,0,0,0,0,0,3505
3967,1.2,3,60.2,61.0,6.87,6.91,4.15,1,0,0,0,0,0,0,0,0,0,0,0,0,3508
3974,1.2,3,61.2,58.0,6.74,6.8,4.14,0,0,1,0,0,0,0,0,0,0,0,0,0,3510
3980,1.2,1,65.5,57.0,6.26,6.21,4.08,0,0,0,1,0,0,0,1,0,0,0,0,0,3511
3981,1.2,1,65.5,57.0,6.26,6.21,4.08,0,0,0,1,0,0,0,1,0,0,0,0,0,3511
3983,1.2,4,61.6,58.0,6.58,6.47,4.02,0,0,0,0,1,0,0,0,1,0,0,0,0,3512
4018,1.2,5,62.9,56.0,6.45,6.37,4.03,0,0,0,0,1,0,0,0,1,0,0,0,0,3521
4027,1.2,4,59.5,58.0,6.89,6.77,4.07,0,0,0,0,0,1,0,1,0,0,0,0,0,3524
4037,1.2,2,63.9,58.0,6.36,6.28,4.03,0,0,0,1,0,0,0,0,1,0,0,0,0,3528
4039,1.2,2,63.9,60.0,6.3,6.26,4.01,0,0,0,0,1,0,0,0,1,0,0,0,0,3528
4040,1.24,4,61.1,62.0,6.91,6.86,4.21,1,0,0,0,0,0,0,0,0,0,0,0,0,3528
4044,1.2,5,62.0,57.0,6.54,6.5,4.04,0,0,0,1,0,0,0,0,1,0,0,0,0,3528
4047,1.2,1,65.7,58.0,6.32,6.26,4.13,0,0,1,0,0,0,0,0,1,0,0,0,0,3530
4049,1.2,1,65.2,56.0,6.42,6.35,4.16,0,0,0,0,1,0,0,0,1,0,0,0,0,3530
4084,1.2,2,63.8,57.0,6.31,6.36,4.04,0,1,0,0,0,0,0,0,1,0,0,0,0,3532
4086,1.2,1,65.6,58.0,6.11,6.15,4.02,1,0,0,0,0,0,0,0,1,0,0,0,0,3533
4092,1.2,2,63.4,56.0,6.36,6.42,4.05,0,0,0,0,0,1,0,0,1,0,0,0,0,3534
4093,1.2,3,62.6,60.0,6.39,6.42,4.01,0,0,0,0,0,1,0,0,1,0,0,0,0,3534
4108,1.2,5,61.8,57.0,6.56,6.58,4.06,0,0,0,0,0,1,0,0,1,0,0,0,0,3537
4124,1.2,1,64.6,59.0,6.19,6.25,4.2,0,1,0,0,0,0,0,0,1,0,0,0,0,3540
4126,1.2,1,64.7,58.0,6.24,6.19,4.02,0,0,1,0,0,0,0,0,1,0,0,0,0,3541
4128,1.52,4,61.2,58.0,7.43,7.35,4.52,0,0,0,0,1,0,0,0,0,0,0,0,0,3541
4129,1.2,5,62.2,55.0,6.63,6.68,4.14,0,1,0,0,0,0,0,0,0,0,0,0,0,3542
4133,1.2,5,62.1,55.0,6.54,6.57,4.07,0,1,0,0,0,0,0,0,0,0,0,0,0,3544
4134,1.2,5,61.8,55.0,6.55,6.58,4.06,0,1,0,0,0,0,0,0,0,0,0,0,0,3544
4140,1.2,4,62.7,59.0,6.63,6.58,4.14,0,0,0,1,0,0,0,0,0,0,0,0,0,3544
4144,1.2,1,66.8,57.0,6.34,6.26,4.21,0,0,1,0,0,0,0,0,1,0,0,0,0,3545
4146,1.2,4,62.2,58.0,6.56,6.49,4.06,0,0,1,0,0,0,0,0,1,0,0,0,0,3545
4147,1.2,2,63.9,58.0,6.31,6.37,4.05,1,0,0,0,0,0,0,0,1,0,0,0,0,3546
4148,1.2,3,62.4,58.0,6.4,6.49,4.02,0,0,0,1,0,0,0,0,1,0,0,0,0,3546
4151,1.2,1,66.4,57.0,6.12,6.08,4.05,0,0,0,1,0,0,0,1,0,0,0,0,0,3546
4153,1.2,4,62.3,60.0,6.55,6.51,4.07,0,0,1,0,0,0,0,0,0,0,0,0,0,3547
4159,1.2,5,61.0,56.0,6.62,6.66,4.05,0,0,1,0,0,0,0,0,0,0,0,0,0,3549
4168,1.2,5,61.9,56.0,6.51,6.45,4.02,0,0,0,0,1,0,0,0,1,0,0,0,0,3553
4174,1.2,2,63.3,54.0,6.34,6.42,4.04,0,0,0,0,0,1,0,0,0,0,1,0,0,3555
4197,1.2,3,63.1,58.0,6.38,6.33,4.01,0,0,0,0,1,0,0,1,0,0,0,0,0,3563
4204,1.2,4,62.8,59.0,6.47,6.42,4.05,0,0,1,0,0,0,0,0,1,0,0,0,0,3564
4207,1.2,1,66.1,60.0,6.32,6.23,4.15,0,0,1,0,0,0,0,0,1,0,0,0,0,3564
4220,1.2,2,64.0,59.0,6.24,6.29,4.01,0,0,0,0,0,0,0,0,1,0,0,0,0,3569
