,carat,cut,color,clarity,depth,table,price,x,y,z,x/y,density
1599,1.2,1,I,I1,66.2,55.0,3011,6.61,6.51,4.34,1.0153609831029187,0.006425531670176559
1639,1.2,4,G,I1,60.3,60.0,3017,6.75,6.69,4.05,1.0089686098654709,0.006123970766241338
1642,1.2,3,G,I1,61.2,63.0,3017,6.68,6.59,4.05,1.0136570561456753,0.006282046147686644
1649,1.2,3,F,SI2,63.3,56.0,3018,6.38,6.31,4.02,1.0110935023771792,0.006302662919572906
1675,1.2,1,J,SI1,66.8,55.0,3027,6.25,6.18,4.15,1.011326860841424,0.006363317347058135
1676,1.2,1,G,SI2,64.9,57.0,3027,6.29,6.2,4.05,1.014516129032258,0.006331442131568633
1684,1.2,2,E,I1,63.8,57.0,3032,6.4,6.33,4.06,1.0110584518167458,0.00614061198919836
1763,1.2,5,J,SI1,60.2,57.0,3045,6.81,6.71,4.07,1.014903129657228,0.006129722445038528
1790,1.2,2,E,I1,63.1,60.0,3051,6.31,6.4,4.01,0.9859374999999999,0.006298635345076295
1795,1.2,1,G,SI1,66.1,56.0,3052,6.26,6.2,4.12,1.0096774193548386,0.006441306812326085
1810,1.2,1,I,SI2,66.1,58.0,3054,6.21,6.04,4.05,1.0281456953642385,0.006648716448832334
1811,1.2,1,I,SI2,68.1,59.0,3054,6.14,6.11,4.17,1.0049099836333877,0.006456181595078033
1829,1.2,3,G,I1,62.4,57.0,3060,6.41,6.45,4.01,0.993798449612403,0.00621262454163422
1906,1.2,1,J,VS1,66.6,57.0,3080,6.07,6.03,4.03,1.0066334991708126,0.006779363965902972
1908,1.2,4,H,SI2,62.8,60.0,3080,6.46,6.34,4.02,1.0189274447949528,0.006073683695477939
1947,1.2,1,I,SI2,64.5,56.0,3084,6.28,6.25,4.04,1.0048000000000001,0.006432490382796242
1958,1.2,2,J,SI2,63.7,60.0,3088,6.4,6.29,4.05,1.0174880763116059,0.006194920410606685
1959,1.2,3,J,SI2,63.3,53.0,3088,6.35,6.31,4.01,1.006339144215531,0.006285993341141452
1974,1.2,4,G,I1,60.3,58.0,3091,6.82,6.77,4.1,1.0073855243722305,0.0063390524616812206
1976,1.2,3,H,SI2,63.4,57.0,3091,6.41,6.32,4.04,1.014240506329114,0.005987831943406824
1997,1.29,2,I,I1,64.2,54.0,3098,6.93,6.83,4.42,1.0146412884333822,0.0061661417272475755
2024,1.52,2,E,I1,57.3,58.0,3105,7.53,7.42,4.28,1.0148247978436657,0.006356249519726805
2025,1.52,2,E,I1,57.3,58.0,3105,7.53,7.42,4.28,1.0148247978436657,0.006356249519726805
2081,1.2,2,H,I1,63.2,58.0,3110,6.33,6.39,4.02,0.9906103286384977,0.006211417946547786
2083,1.2,2,H,SI2,64.1,56.0,3111,6.37,6.3,4.06,1.011111111111111,0.006198910391129152
2109,1.2,4,H,I1,61.7,59.0,3118,6.54,6.59,4.05,0.992412746585736,0.006187362621214302
2112,1.2,1,H,SI2,68.2,55.0,3118,6.47,6.37,4.38,1.0156985871271584,0.006425991780646864
2118,1.2,1,J,SI2,65.0,59.0,3119,6.34,6.24,4.08,1.016025641025641,0.006319259079511446
2149,1.2,2,G,I1,63.4,58.0,3127,6.58,6.61,4.18,0.9954614220877458,0.006215481936038356
2159,1.2,2,J,VS2,64.3,58.0,3129,6.25,6.22,4.01,1.004823151125402,0.0062223861567945096
2177,1.2,1,E,SI2,66.6,59.0,3136,6.07,6.01,4.02,1.0099833610648918,0.006818844454889096
2182,1.2,1,E,SI2,67.0,53.0,3136,6.19,6.13,4.13,1.0097879282218598,0.006381148107781241
2183,1.2,1,E,SI2,67.0,53.0,3136,6.19,6.13,4.13,1.0097879282218598,0.006381148107781241
2209,1.2,1,G,SI2,64.6,67.0,3142,6.25,6.19,4.02,1.0096930533117932,0.006429886110642266
2212,1.2,1,G,SI2,68.3,54.0,3142,6.21,6.12,4.2,1.0147058823529411,0.006264806871039702
2241,1.2,5,I,SI2,62.8,55.0,3146,6.51,6.46,4.07,1.0077399380804952,0.006192955359039449
2242,1.2,1,F,SI2,65.5,56.0,3146,6.3,6.19,4.09,1.0177705977382874,0.006269681706441842
2246,1.2,5,I,VS2,62.8,57.0,3148,6.45,6.39,4.03,1.0093896713615025,0.006140935739532572
2248,1.2,2,J,SI2,64.1,62.0,3149,6.37,6.33,4.07,1.0063191153238547,0.006276241888970392
2249,1.2,1,J,SI2,64.6,62.0,3149,6.3,6.21,4.06,1.0144927536231885,0.006484538028289963
2308,1.2,1,H,SI2,63.7,54.0,3164,6.42,6.27,4.06,1.0239234449760766,0.006118872411254995
2323,1.2,3,H,I1,63.2,58.0,3167,6.39,6.33,4.02,1.0094786729857819,0.006211417946547786
2324,1.2,5,F,I1,61.8,56.0,3168,6.64,6.62,4.1,1.0030211480362536,0.005992579854455772
2325,1.23,5,H,I1,61.6,55.0,3168,6.92,6.87,4.25,1.007278020378457,0.006087701506631883
2336,1.2,1,F,SI2,66.3,56.0,3170,6.47,6.39,4.27,1.0125195618153364,0.006174381842840106
2356,1.2,1,G,SI2,68.5,63.0,3173,6.08,6.0,4.14,1.0133333333333334,0.00668753707941351
2365,1.2,1,J,SI1,65.3,57.0,3175,6.33,6.12,4.08,1.0343137254901962,0.006326808723262147
2366,1.5,1,H,I1,69.3,61.0,3175,6.99,6.81,4.78,1.026431718061674,0.006592332057769818
2411,1.5,2,G,I1,57.4,62.0,3179,7.56,7.39,4.29,1.0230040595399188,0.006258463633294486
2432,1.2,4,I,I1,61.8,59.0,3183,6.65,6.58,4.09,1.0106382978723405,0.006202290902753499
2460,1.2,1,J,VS2,65.8,55.0,3190,6.29,6.24,4.12,1.0080128205128205,0.006245812213830489
2476,1.2,1,H,SI2,64.4,57.0,3192,6.35,6.29,4.07,1.0095389507154213,0.006151502715227163
2497,1.2,1,F,SI1,66.1,60.0,3197,6.15,6.13,4.06,1.00326264274062,0.0065987207497819325
2521,1.2,2,H,I1,63.9,58.0,3203,6.35,6.42,4.08,0.9890965732087227,0.006252654372024278
2526,1.2,2,J,SI2,63.8,56.0,3204,6.36,6.32,4.05,1.0063291139240507,0.006388576831482119
2528,1.2,4,H,I1,61.0,59.0,3205,6.61,6.67,4.05,0.9910044977511245,0.006216424482329352
2585,1.2,4,J,SI2,60.0,58.0,3216,6.77,6.66,4.03,1.0165165165165164,0.006053753611765714
2586,1.2,5,I,SI2,61.7,56.0,3216,6.65,6.6,4.09,1.0075757575757578,0.006127788909927632
2600,1.2,3,E,I1,59.9,63.0,3219,6.8,6.85,4.09,0.9927007299270073,0.006193829056616847
2610,1.2,4,H,SI2,60.4,58.0,3220,6.8,6.75,4.09,1.0074074074074073,0.006125786364532229
2651,1.2,3,E,I1,62.2,61.0,3234,6.48,6.51,4.04,0.9953917050691246,0.006161010366269602
2745,1.2,1,H,SI2,66.5,62.0,3248,6.19,6.1,4.09,1.0147540983606558,0.006475245041079279
2800,1.2,2,H,I1,63.9,58.0,3261,6.42,6.35,4.08,1.0110236220472442,0.006252654372024278
2806,1.2,4,H,I1,61.0,59.0,3263,6.67,6.61,4.05,1.0090771558245082,0.006216424482329352
2816,1.2,1,I,VS2,65.7,58.0,3265,6.25,6.2,4.09,1.0080645161290323,0.006309645871125483
2817,1.2,3,I,VS2,63.2,58.0,3265,6.43,6.32,4.03,1.0174050632911391,0.00610614204127156
2818,1.2,2,J,VVS2,63.7,57.0,3265,6.34,6.31,4.03,1.0047543581616483,0.0062026365894698515
2819,1.2,1,F,SI2,65.1,55.0,3265,6.26,6.23,4.07,1.0048154093097912,0.006300038607896596
2820,1.2,1,F,SI2,65.1,55.0,3265,6.26,6.23,4.07,1.0048154093097912,0.006300038607896596
2824,1.2,4,J,SI2,60.7,61.0,3266,6.71,6.64,4.05,1.010542168674699,0.006206866434662867
2866,1.2,3,G,SI2,63.2,58.0,3275,6.42,6.35,4.04,1.0110236220472442,0.006132411018716119
2877,1.25,5,E,I1,60.9,56.0,3276,6.95,6.91,4.22,1.0057887120115774,0.006167862878440946
2881,1.2,3,E,I1,59.9,63.0,3278,6.85,6.8,4.09,1.0073529411764706,0.006193829056616847
2884,1.2,1,I,SI1,65.5,58.0,3280,6.28,6.24,4.1,1.0064102564102564,0.006286273666264345
2913,1.2,1,H,SI1,68.4,53.0,3285,6.05,5.97,4.11,1.0134003350083751,0.006332224823486707
2927,1.2,3,H,SI2,63.1,56.0,3288,6.43,6.38,4.04,1.0078369905956113,0.006214757797976398
2934,1.2,1,I,SI2,66.2,57.0,3290,6.34,6.26,4.17,1.012779552715655,0.006163118607622444
2945,1.2,4,E,I1,62.2,61.0,3293,6.51,6.48,4.04,1.0046296296296295,0.006161010366269602
2948,1.2,1,E,SI2,64.6,59.0,3294,6.22,6.18,4.01,1.006472491909385,0.00655236589843615
2960,1.2,3,H,SI2,61.8,63.0,3296,6.57,6.47,4.03,1.0154559505409584,0.006246102133098167
2962,1.2,4,G,SI2,62.5,59.0,3296,6.5,6.47,4.05,1.0046367851622875,0.0062821907232005125
2966,1.2,2,J,SI2,63.1,58.0,3298,6.34,6.38,4.01,0.9937304075235109,0.0062884825849599275
2981,1.2,1,G,SI1,69.7,59.0,3299,6.09,5.9,4.18,1.0322033898305083,0.0063918363466180985
2991,1.2,1,J,SI2,64.9,60.0,3302,6.46,6.32,4.15,1.0221518987341771,0.0063742055261056755
3008,1.2,1,D,SI2,64.8,60.0,3304,6.23,6.18,4.02,1.0080906148867315,0.0064609655468495335
3009,1.2,1,G,SI1,65.8,55.0,3304,6.22,6.19,4.08,1.0048465266558966,0.006365885210969001
3010,1.2,3,D,SI2,63.4,58.0,3304,6.33,6.3,4.01,1.0047619047619047,0.0062533302892121495
3011,1.2,2,D,SI2,64.0,54.0,3304,6.29,6.24,4.01,1.0080128205128205,0.006353607644498066
3075,1.24,5,I,SI2,62.5,57.0,3312,6.89,6.84,4.29,1.0073099415204678,0.0061332274303017575
3080,1.24,5,J,SI1,62.3,57.0,3312,6.86,6.81,4.26,1.0073421439060206,0.006230757636612527
3103,1.2,5,G,SI2,61.0,56.0,3321,6.62,6.56,4.02,1.0091463414634148,0.006071807347464286
3137,1.27,5,I,I1,62.3,56.0,3328,6.91,6.86,4.29,1.0072886297376094,0.0062451700125582986
3151,1.2,1,G,SI2,66.6,56.0,3332,6.12,6.02,4.04,1.0166112956810631,0.0065841057429956405
3214,1.2,1,I,SI2,65.8,58.0,3348,6.23,6.27,4.11,0.9936204146730464,0.006228774244935372
3216,1.2,2,I,SI2,64.1,58.0,3349,6.26,6.31,4.03,0.9920760697305864,0.006344722545848441
3230,1.2,4,H,SI2,62.8,56.0,3352,6.54,6.47,4.08,1.010819165378671,0.006082009679501028
3231,1.2,4,H,SI2,61.7,59.0,3352,6.59,6.53,4.05,1.0091883614088821,0.0060247035221879935
3238,1.2,1,H,SI2,66.0,50.1,3353,6.13,6.17,4.06,0.993517017828201,0.006121476427698598
3241,1.2,2,F,I1,64.3,59.0,3354,6.37,6.42,4.11,0.9922118380062306,0.006366012622529827
3247,1.28,5,H,I1,61.9,56.0,3355,6.95,6.91,4.29,1.0057887120115774,0.006212835081433401
3262,1.2,3,J,SI2,63.1,58.0,3359,6.38,6.34,4.01,1.0063091482649842,0.0062884825849599275
3270,1.2,2,I,SI1,64.3,57.0,3360,6.29,6.25,4.03,1.0064,0.0063119607711638066
3297,1.2,5,F,I1,61.2,56.0,3366,6.76,6.71,4.12,1.007451564828614,0.006046610743044342
3328,1.23,4,F,I1,60.8,59.0,3375,6.96,6.91,4.22,1.0072358900144718,0.006060456990385336
3344,1.2,4,J,SI2,62.0,58.0,3378,6.47,6.52,4.03,0.9923312883435583,0.006058711906554757
3446,1.2,1,F,SI1,68.7,55.0,3387,6.06,5.88,4.11,1.030612244897959,0.006828231360799321
3451,1.2,4,H,SI2,59.2,59.0,3388,6.8,6.74,4.01,1.0089020771513353,0.00598521152172806
3463,1.2,4,J,SI2,62.9,59.0,3391,6.43,6.39,4.03,1.0062597809076683,0.006401606692157503
3510,1.2,1,J,SI2,64.4,55.0,3403,6.56,6.54,4.22,1.003058103975535,0.006296668253868938
3529,1.2,2,J,SI1,64.2,58.0,3407,6.42,6.34,4.1,1.0126182965299684,0.006231967741417443
3540,1.2,2,I,SI2,64.1,58.0,3411,6.31,6.26,4.03,1.0079872204472844,0.006344722545848441
3542,1.2,5,H,I1,62.1,55.0,3412,6.55,6.59,4.08,0.9939301972685888,0.006075708092547912
3549,1.2,5,H,SI1,61.5,54.0,3415,6.64,6.6,4.07,1.006060606060606,0.005998979164367992
3551,1.2,2,F,I1,64.3,59.0,3415,6.42,6.37,4.11,1.0078492935635792,0.006366012622529827
3552,1.21,2,G,I1,64.0,59.0,3415,6.78,6.73,4.32,1.0074294205052006,0.006138423748561071
3565,1.2,3,E,SI2,63.1,58.0,3418,6.51,6.46,4.09,1.0077399380804952,0.0063370872028663365
3588,1.2,1,J,VS2,65.3,61.0,3422,6.33,6.13,4.03,1.0326264274061991,0.006394855998298507
3604,1.2,2,J,SI2,64.2,59.0,3425,6.47,6.38,4.13,1.0141065830721003,0.006100400222622375
3605,1.2,1,J,SI1,64.9,58.0,3427,6.29,6.23,4.06,1.0096308186195826,0.006285434055922337
3614,1.2,5,I,VS2,62.2,56.0,3428,6.52,6.5,4.05,1.003076923076923,0.006117490780067468
3664,1.2,1,F,SI2,65.7,61.0,3443,6.13,6.11,4.02,1.0032733224222585,0.0066415930588870345
3665,1.2,1,J,VS2,64.6,58.0,3443,6.48,6.41,4.16,1.0109204368174727,0.006308122695278181
3666,1.22,3,J,SI2,63.5,58.0,3443,6.8,6.75,4.3,1.0074074074074073,0.006181283883062269
3669,1.2,4,F,I1,62.3,59.0,3444,6.42,6.46,4.01,0.9938080495356038,0.0061933454703663095
3697,1.2,3,I,SI2,61.6,58.0,3449,6.47,6.58,4.02,0.9832826747720365,0.006076830347728153
3711,1.2,5,J,VVS2,62.7,57.0,3451,6.45,6.37,4.02,1.012558869701727,0.006175540464229908
3767,1.5,4,H,I1,60.1,57.0,3457,7.4,7.28,4.42,1.0164835164835164,0.006299497249723493
3768,1.2,3,J,SI2,62.8,57.0,3459,6.44,6.5,4.06,0.9907692307692308,0.006119389284949363
3775,1.2,5,F,SI2,62.6,57.0,3461,6.44,6.4,4.02,1.00625,0.0062164913012576865
3777,1.2,1,G,SI2,65.1,58.0,3461,6.29,6.21,4.07,1.0128824476650564,0.006353085775218906
3779,1.2,5,F,SI2,62.7,56.0,3461,6.52,6.47,4.07,1.007727975270479,0.006173899840752991
3782,1.2,2,G,SI2,64.0,59.0,3461,6.34,6.31,4.05,1.0047543581616483,0.006233726348177565
3786,1.2,3,J,SI2,63.5,59.0,3462,6.3,6.36,4.02,0.990566037735849,0.0062704347882232055
3799,1.2,2,I,SI2,63.9,60.0,3465,6.26,6.3,4.01,0.9936507936507937,0.006323255707781615
3808,1.25,2,I,SI2,60.5,64.0,3465,6.91,6.82,4.15,1.0131964809384164,0.006391451449026409
3809,1.2,2,G,SI2,63.9,60.0,3466,6.33,6.37,4.06,0.9937205651491365,0.006291700612834853
3819,1.2,4,I,SI2,62.5,56.0,3469,6.63,6.55,4.12,1.0122137404580154,0.0062039877892106285
3836,1.2,1,H,SI2,66.1,59.0,3472,6.18,6.13,4.07,1.0081566068515497,0.006485696788045575
3850,1.2,1,F,SI2,64.8,55.0,3477,6.37,6.26,4.1,1.0175718849840256,0.006177656432022965
3869,1.2,4,H,I1,62.7,59.0,3480,6.58,6.63,4.14,0.9924585218702866,0.006256604177918864
3883,1.2,2,I,VS1,64.2,60.0,3484,6.35,6.27,4.05,1.0127591706539074,0.006263615417734312
3926,1.51,2,G,I1,64.0,59.0,3497,7.29,7.17,4.63,1.0167364016736402,0.006239492575704228
3955,1.52,1,H,I1,64.9,58.0,3504,7.18,7.13,4.65,1.0070126227208975,0.006385231698424163
3956,1.2,5,I,I1,61.9,56.0,3505,6.82,6.85,4.23,0.9956204379562045,0.006072477754616334
3967,1.2,3,E,I1,60.2,61.0,3508,6.87,6.91,4.15,0.9942112879884226,0.006040377487046118
3974,1.2,3,G,I1,61.2,58.0,3510,6.74,6.8,4.14,0.9911764705882353,0.006060782374275131
3980,1.2,1,H,SI1,65.5,57.0,3511,6.26,6.21,4.08,1.0080515297906603,0.006304837585870626
3981,1.2,1,H,SI1,65.5,57.0,3511,6.26,6.21,4.08,1.0080515297906603,0.006304837585870626
3983,1.2,4,I,SI2,61.6,58.0,3512,6.58,6.47,4.02,1.017001545595054,0.006076830347728153
4018,1.2,5,I,SI2,62.9,56.0,3521,6.45,6.37,4.03,1.012558869701727,0.006160216542482439
4027,1.2,4,J,SI1,59.5,58.0,3524,6.89,6.77,4.07,1.017725258493353,0.00584683285834313
4037,1.2,2,H,SI2,63.9,58.0,3528,6.36,6.28,4.03,1.0127388535031847,0.006212668695078144
4039,1.2,2,I,SI2,63.9,60.0,3528,6.3,6.26,4.01,1.0063897763578276,0.006323255707781615
4040,1.24,4,E,I1,61.1,62.0,3528,6.91,6.86,4.21,1.0072886297376094,0.00621351607511271
4044,1.2,5,H,SI2,62.0,57.0,3528,6.54,6.5,4.04,1.0061538461538462,0.006113878854363913
4047,1.2,1,G,SI2,65.7,58.0,3530,6.32,6.26,4.13,1.0095846645367412,0.006303703267771229
4049,1.2,1,I,SI2,65.2,56.0,3530,6.42,6.35,4.16,1.0110236220472442,0.006073445528151541
4084,1.2,2,F,SI2,63.8,57.0,3532,6.31,6.36,4.04,0.992138364779874,0.0062295049287843
4086,1.2,1,E,SI2,65.6,58.0,3533,6.11,6.15,4.02,0.9934959349593496,0.006355194606981857
4092,1.2,2,J,SI2,63.4,56.0,3534,6.36,6.42,4.05,0.9906542056074767,0.006168122706456137
4093,1.2,3,J,SI2,62.6,60.0,3534,6.39,6.42,4.01,0.9953271028037383,0.006200402931360848
4108,1.2,5,J,SI2,61.8,57.0,3537,6.56,6.58,4.06,0.9969604863221884,0.006162656892114613
4124,1.2,1,F,SI2,64.6,59.0,3540,6.19,6.25,4.2,0.9904000000000001,0.006215862758673744
4126,1.2,1,G,SI2,64.7,58.0,3541,6.24,6.19,4.02,1.0080775444264942,0.006440190415306756
4128,1.52,4,I,I1,61.2,58.0,3541,7.43,7.35,4.52,1.0108843537414967,0.006157848506069493
4129,1.2,5,F,I1,62.2,55.0,3542,6.63,6.68,4.14,0.9925149700598803,0.0061629424387284635
4133,1.2,5,F,I1,62.1,55.0,3544,6.54,6.57,4.07,0.9954337899543378,0.006061335708187536
4134,1.2,5,F,I1,61.8,55.0,3544,6.55,6.58,4.06,0.9954407294832827,0.006057768018802399
4140,1.2,4,H,I1,62.7,59.0,3544,6.63,6.58,4.14,1.0075987841945289,0.006256604177918864
4144,1.2,1,G,SI2,66.8,57.0,3545,6.34,6.26,4.21,1.012779552715655,0.0064038048799195625
4146,1.2,4,G,SI2,62.2,58.0,3545,6.56,6.49,4.06,1.0107858243451462,0.006190264525854896
4147,1.2,2,E,SI2,63.9,58.0,3546,6.31,6.37,4.05,0.9905808477237048,0.006204368139316446
4148,1.2,3,H,SI2,62.4,58.0,3546,6.4,6.49,4.02,0.9861325115562404,0.006228487761500663
4151,1.2,1,H,SI1,66.4,57.0,3546,6.12,6.08,4.05,1.006578947368421,0.006702106876972144
4153,1.2,4,G,I1,62.3,60.0,3547,6.55,6.51,4.07,1.0061443932411673,0.006165482649107373
4159,1.2,5,G,I1,61.0,56.0,3549,6.62,6.66,4.05,0.993993993993994,0.006104347605970076
4168,1.2,5,I,SI2,61.9,56.0,3553,6.51,6.45,4.02,1.0093023255813953,0.006161218105995346
4174,1.2,2,J,VS2,63.3,54.0,3555,6.34,6.42,4.04,0.9875389408099688,0.0061420835913008455
4197,1.2,3,I,SI1,63.1,58.0,3563,6.38,6.33,4.01,1.0078988941548184,0.0062366678103850945
4204,1.2,4,G,SI2,62.8,59.0,3564,6.47,6.42,4.05,1.0077881619937694,0.006182142441674013
4207,1.2,1,G,SI2,66.1,60.0,3564,6.32,6.23,4.15,1.014446227929374,0.006364731943194277
4220,1.2,2,D,SI2,64.0,59.0,3569,6.24,6.29,4.01,0.9920508744038156,0.006353607644498066
4227,1.2,5,I,I1,61.9,56.0,3570,6.85,6.82,4.23,1.0043988269794721,0.006072477754616334
4229,1.2,4,E,I1,60.2,61.0,3572,6.91,6.87,4.15,1.0058224163027656,0.006040377487046118
4231,1.2,4,H,SI2,62.1,58.0,3573,6.72,6.65,4.15,1.0105263157894735,0.00625487988473766
4232,1.2,3,I,SI1,63.5,57.0,3573,6.55,6.53,4.15,1.003062787136294,0.0061971228730312335
4236,1.2,4,G,I1,61.2,58.0,3574,6.8,6.74,4.14,1.0089020771513353,0.006060782374275131
4238,1.2,1,E,SI2,65.1,59.0,3575,6.3,6.23,4.08,1.0112359550561796,0.006244695131485803
4260,1.2,2,J,VS2,64.3,59.0,3580,6.27,6.21,4.01,1.0096618357487923,0.006404665999005856
4266,1.2,2,F,SI2,64.0,60.0,3581,6.38,6.33,4.07,1.0078988941548184,0.006327243398066022
4268,1.2,4,H,SI1,62.2,52.0,3581,6.47,6.43,4.01,1.0062208398133747,0.006114212738673314
4273,1.2,1,H,SI1,68.6,58.0,3583,6.18,6.04,4.19,1.0231788079470199,0.006265945873173879
4279,1.2,2,H,SI2,63.9,55.0,3584,6.41,6.34,4.07,1.0110410094637226,0.006045863022097907
4281,1.2,1,I,SI1,64.8,59.0,3584,6.23,6.14,4.01,1.0146579804560263,0.006519273626183364
4295,1.2,4,D,I1,61.9,58.0,3589,6.63,6.66,4.11,0.9954954954954954,0.006116365068705129
