,carat,depth,table,x,y,z,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
120,0.71,62.3,56.0,5.73,5.69,3.56,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2762.0
121,0.74,62.3,54.0,5.8,5.83,3.62,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2762.0
122,0.7,61.7,63.0,5.64,5.61,3.47,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2762.0
123,0.7,64.5,57.0,5.57,5.53,3.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2762.0
124,0.7,65.3,55.0,5.63,5.58,3.66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2762.0
125,0.7,61.6,60.0,5.65,5.59,3.46,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2762.0
126,0.91,61.4,56.0,6.09,5.97,3.7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2763.0
127,0.61,59.6,57.0,5.56,5.58,3.32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2763.0
128,0.91,64.4,57.0,6.11,6.09,3.93,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2763.0
129,0.91,65.7,60.0,6.03,5.99,3.95,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2763.0
130,0.77,62.0,56.0,5.89,5.86,3.64,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2763.0
131,0.71,63.6,58.0,5.64,5.68,3.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2764.0
132,0.71,61.9,59.0,5.69,5.72,3.53,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2764.0
133,0.7,62.6,60.0,5.62,5.65,3.53,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2765.0
134,0.77,61.3,60.0,5.88,5.9,3.61,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2765.0
135,0.63,60.9,60.0,5.52,5.55,3.37,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2765.0
136,0.71,60.1,62.0,5.74,5.77,3.46,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2765.0
137,0.71,61.8,59.0,5.69,5.73,3.53,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2765.0
138,0.76,61.2,57.0,5.88,5.91,3.61,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2765.0
139,0.64,61.9,56.0,5.53,5.56,3.43,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2766.0
140,0.71,60.9,57.0,5.78,5.75,3.51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2766.0
141,0.71,59.8,56.0,5.89,5.81,3.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2766.0
142,0.7,61.8,55.0,5.68,5.72,3.52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2767.0
143,0.7,60.0,57.0,5.8,5.87,3.5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2767.0
144,0.71,61.6,55.0,5.74,5.76,3.54,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2767.0
145,0.7,62.1,64.0,5.62,5.65,3.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2767.0
146,0.71,63.3,59.0,5.52,5.61,3.52,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2768.0
147,0.73,60.2,56.0,5.83,5.87,3.52,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2768.0
148,0.7,61.1,58.0,5.66,5.73,3.48,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2768.0
149,0.7,60.9,57.0,5.73,5.76,3.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2768.0
150,0.71,61.7,59.0,5.71,5.67,3.51,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2768.0
151,0.74,61.3,56.0,5.82,5.86,3.57,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2769.0
152,0.71,62.5,60.0,5.65,5.61,3.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2770.0
153,0.73,61.4,59.0,5.83,5.76,3.56,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2770.0
154,0.76,62.9,57.0,5.79,5.81,3.65,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2770.0
155,0.76,62.4,57.0,5.78,5.83,3.62,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2770.0
156,0.71,60.7,56.0,5.77,5.8,3.51,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2770.0
157,0.73,60.7,58.0,5.87,5.82,3.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2770.0
158,0.73,61.5,58.0,5.79,5.75,3.55,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2770.0
159,0.73,59.9,57.0,5.92,5.89,3.54,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2770.0
160,0.73,59.2,59.0,5.92,5.87,3.49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2770.0
161,0.72,60.3,56.0,5.81,5.83,3.51,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2771.0
162,0.73,61.7,60.0,5.79,5.82,3.58,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2771.0
163,0.71,61.9,57.0,5.73,5.77,3.56,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2771.0
164,0.79,61.9,55.0,5.97,5.92,3.68,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2771.0
165,0.73,60.4,59.0,5.83,5.89,3.54,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2772.0
166,0.8,61.0,57.0,6.01,6.03,3.67,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2772.0
167,0.58,61.5,55.0,5.39,5.44,3.33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2772.0
168,0.58,61.7,56.0,5.33,5.37,3.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2772.0
169,0.71,59.2,61.0,5.8,5.88,3.46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2772.0
170,0.75,61.3,56.0,5.85,5.89,3.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2773.0
171,0.7,58.0,62.0,5.87,5.78,3.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2773.0
172,1.17,60.2,61.0,6.83,6.9,4.13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2774.0
173,0.6,61.7,55.0,5.41,5.44,3.35,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2774.0
174,0.7,62.7,55.0,5.68,5.74,3.58,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2774.0
175,0.83,64.6,54.0,5.85,5.88,3.79,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2774.0
176,0.74,61.3,61.0,5.8,5.84,3.57,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2775.0
177,0.72,63.7,56.4,5.62,5.69,3.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2776.0
178,0.71,62.7,58.0,5.74,5.68,3.58,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2776.0
179,0.71,62.2,57.0,5.79,5.62,3.55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2776.0
180,0.54,61.6,56.0,5.25,5.27,3.24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2776.0
181,0.54,61.5,57.0,5.24,5.26,3.23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2776.0
182,0.72,61.8,56.0,5.72,5.75,3.55,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2776.0
183,0.72,60.7,56.0,5.79,5.82,3.53,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2776.0
184,0.72,59.7,60.5,5.8,5.84,3.47,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2776.0
185,0.71,60.5,56.0,5.8,5.76,3.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2776.0
186,0.7,62.7,58.0,5.66,5.73,3.57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2777.0
187,0.71,62.1,58.0,5.67,5.7,3.53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2777.0
188,0.71,62.8,57.0,5.64,5.69,3.56,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2777.0
189,0.71,63.8,58.0,5.61,5.64,3.59,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2777.0
190,0.71,57.8,60.0,5.87,5.9,3.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2777.0
191,0.7,62.1,55.0,5.7,5.67,3.53,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2777.0
192,0.7,61.1,60.0,5.71,5.64,3.47,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2777.0
193,0.7,60.0,59.0,5.79,5.75,3.46,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
194,0.7,61.2,57.0,5.73,5.68,3.49,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
195,0.7,62.7,59.0,5.67,5.63,3.54,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
196,0.7,61.0,57.0,5.73,5.68,3.48,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
197,0.7,61.0,58.0,5.78,5.72,3.51,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
198,0.7,61.4,57.0,5.76,5.7,3.52,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
199,0.72,61.8,61.0,5.82,5.71,3.56,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2777.0
200,0.7,59.9,63.0,5.76,5.7,3.43,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
201,0.7,61.3,58.0,5.71,5.68,3.49,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
202,0.7,60.5,58.0,5.77,5.74,3.48,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
203,0.7,64.1,59.0,5.64,5.59,3.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2777.0
204,0.98,67.9,60.0,6.05,5.97,4.08,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2777.0
205,0.78,62.4,58.0,5.83,5.8,3.63,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2777.0
206,0.7,63.2,60.0,5.6,5.51,3.51,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2777.0
207,0.52,61.3,55.0,5.19,5.22,3.19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2778.0
208,0.73,60.8,56.0,5.82,5.84,3.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2779.0
209,0.74,61.7,56.0,5.84,5.8,3.59,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2779.0
210,0.7,63.6,57.0,5.61,5.65,3.58,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2780.0
211,0.77,61.2,58.0,5.9,5.93,3.62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2780.0
212,0.71,62.1,54.0,5.68,5.72,3.54,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2780.0
213,0.74,61.5,55.0,5.81,5.86,3.59,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2780.0
214,0.7,61.4,59.0,5.64,5.73,3.49,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2780.0
215,1.01,61.8,60.0,6.39,6.36,3.94,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2781.0
216,0.77,62.2,56.0,5.83,5.88,3.64,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2781.0
217,0.78,61.2,56.0,5.92,5.99,3.64,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2781.0
218,0.72,60.6,63.0,5.83,5.76,3.51,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2782.0
219,0.53,57.5,64.0,5.34,5.37,3.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2782.0
220,0.76,61.3,56.0,5.9,5.94,3.63,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2782.0
221,0.7,57.2,62.0,5.81,5.77,3.31,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2782.0
222,0.7,62.9,60.0,5.62,5.54,3.51,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2782.0
223,0.75,63.1,58.0,5.78,5.73,3.63,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2782.0
224,0.72,60.8,57.0,5.76,5.75,3.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2782.0
225,0.72,62.7,59.0,5.73,5.69,3.58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2782.0
226,0.7,62.8,60.0,5.68,5.66,3.56,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2782.0
227,0.84,55.1,67.0,6.39,6.2,3.47,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2782.0
228,0.75,61.4,59.0,5.88,5.85,3.6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2782.0
229,0.52,62.2,55.0,5.14,5.18,3.21,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2783.0
230,0.72,63.0,54.0,5.69,5.73,3.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2784.0
231,0.79,63.7,56.0,5.85,5.92,3.75,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2784.0
232,0.72,63.6,58.0,5.66,5.69,3.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2787.0
233,0.51,62.0,57.0,5.11,5.15,3.18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2787.0
234,0.64,61.5,56.0,5.54,5.55,3.41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2787.0
235,0.7,60.5,60.0,5.74,5.77,3.48,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2788.0
236,0.83,61.1,60.0,6.07,6.1,3.72,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2788.0
237,0.76,61.8,56.0,5.85,5.87,3.62,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2788.0
238,0.71,63.3,56.0,5.64,5.68,3.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2788.0
239,0.77,59.4,64.0,5.97,5.92,3.53,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2788.0
240,0.71,62.5,55.0,5.71,5.65,3.55,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2788.0
241,1.01,64.5,58.0,6.29,6.21,4.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2788.0
242,1.01,62.7,59.0,6.31,6.22,3.93,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2788.0
243,0.77,64.2,52.0,5.81,5.77,3.72,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2789.0
244,0.76,63.7,54.0,5.76,5.85,3.7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2789.0
245,0.76,60.4,58.0,5.92,5.94,3.58,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2789.0
246,0.76,61.8,58.0,5.82,5.86,3.61,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2789.0
247,1.05,63.2,56.0,6.49,6.45,4.09,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2789.0
248,0.81,61.6,56.0,5.97,6.01,3.69,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2789.0
249,0.7,61.6,56.0,5.72,5.75,3.53,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2789.0
250,0.55,60.9,57.0,5.28,5.3,3.22,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2789.0
251,0.81,61.0,61.0,5.94,5.99,3.64,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2789.0
252,0.63,62.1,57.0,5.48,5.41,3.38,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2789.0
253,0.63,60.9,60.0,5.55,5.52,3.37,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2789.0
254,0.77,61.3,60.0,5.9,5.88,3.61,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2789.0
255,1.05,65.8,59.0,6.41,6.27,4.18,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2789.0
256,0.64,61.3,56.0,5.54,5.58,3.41,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2790.0
257,0.76,58.8,59.0,6.0,5.94,3.51,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2790.0
258,0.83,62.3,55.0,6.02,6.05,3.76,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2790.0
259,0.71,60.1,62.0,5.77,5.74,3.46,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2790.0
260,0.71,61.8,59.0,5.73,5.69,3.53,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2790.0
261,0.87,63.6,55.8,6.07,6.1,3.87,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2791.0
262,0.73,62.2,56.0,5.74,5.78,3.58,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2791.0
263,0.71,59.2,59.0,5.83,5.86,3.46,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2792.0
264,0.71,61.8,59.0,5.7,5.75,3.54,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2792.0
265,0.71,61.3,55.0,5.72,5.77,3.52,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2792.0
266,0.7,62.1,60.0,5.71,5.65,3.53,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2792.0
267,0.7,60.7,60.0,5.78,5.75,3.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2792.0
268,0.76,59.6,57.0,5.91,5.86,3.51,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2792.0
269,0.7,62.2,56.0,5.73,5.68,3.55,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2792.0
270,0.79,60.6,57.0,5.98,6.06,3.65,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2793.0
271,0.7,62.9,57.0,5.66,5.69,3.57,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2793.0
272,0.7,64.1,55.0,5.6,5.66,3.61,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2793.0
273,0.76,61.3,56.0,5.87,5.91,3.61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2793.0
274,0.73,62.7,55.0,5.72,5.76,3.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2793.0
275,0.79,63.2,56.0,5.91,5.86,3.72,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2794.0
276,0.71,60.7,56.0,5.81,5.82,3.53,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2795.0
277,0.81,61.9,60.0,5.91,5.86,3.64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2795.0
278,0.81,62.6,55.0,5.92,5.96,3.72,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2795.0
279,0.72,60.7,60.0,5.74,5.72,3.48,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2795.0
280,0.72,62.0,60.0,5.73,5.69,3.54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2795.0
281,0.72,63.0,57.0,5.72,5.7,3.6,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2795.0
282,0.81,58.0,59.0,6.17,6.13,3.57,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2795.0
283,0.72,62.9,57.0,5.73,5.65,3.58,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2795.0
284,1.0,58.2,60.0,6.61,6.55,3.83,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2795.0
285,0.73,63.2,58.0,5.7,5.76,3.62,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2796.0
286,0.81,61.3,59.0,5.94,6.01,3.66,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2797.0
287,0.81,60.3,60.0,6.07,6.1,3.67,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2797.0
288,0.71,62.7,60.0,5.67,5.71,3.57,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2797.0
289,0.71,61.3,58.0,5.73,5.75,3.52,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2797.0
290,0.71,61.6,60.0,5.74,5.69,3.52,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2797.0
291,0.57,61.9,55.0,5.34,5.35,3.31,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2797.0
292,0.51,61.7,56.0,5.12,5.16,3.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2797.0
293,0.72,61.9,58.0,5.72,5.75,3.55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2797.0
294,0.74,61.8,58.0,5.77,5.81,3.58,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2797.0
295,0.74,61.6,56.0,5.81,5.82,3.58,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2797.0
296,0.7,58.8,66.0,5.81,5.9,3.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2797.0
297,0.8,61.0,57.0,6.03,6.01,3.67,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2797.0
298,1.01,67.4,60.0,6.19,6.05,4.13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2797.0
299,0.8,63.4,60.0,5.92,5.82,3.72,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2797.0
300,0.77,61.5,59.0,5.87,5.91,3.62,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2798.0
